Essas esse
políticas política
são ser
diretrizes diretriz
Institucionais institucional
que que
visam visar
favorecer favorecer
as o
práticas prática
, ,
tanto tanto
de de
ensino ensino
, ,
como como
de de
pesquisa pesquisa
e e
extensão extensão
. .
Ao a_o
analisar analisar
as o
respostas resposta
dos de_o
entrevistados entrevistado
identificamos identificar
que que
63 63
% %
deles de_eles
consideram considerar
as o
políticas política
de de
ensino ensino
e e
extensão extensão
boas bom
ou ou
muito muito
boas bom
. .
Quanto quanto
a o
comunicação comunicação
com com
a o
sociedade sociedade
, ,
percebemos perceber
que que
53 53
% %
dos de_o
entrevistados entrevistado
consideram considerar
bom bom
ou ou
muito muito
bom bom
. .
Em em
relação relação
as o
políticas política
acadêmicas acadêmico
de de
atendimento atendimento
aos a_o
discentes discente
, ,
observa observar
-se se
que que
47 47
% %
dos de_o
entrevistados entrevistado
consideram considerar
bom bom
ou ou
muito muito
bom bom
. .
