Ações ação
de de
nivelamento nivelamento
de de
conhecimento conhecimento
, ,
ENADE enade
, ,
acolhimento acolhimento
e e
permanência permanência
discente discente
. .
O o
que que
será ser
feito fazer
: :
Para para
o o
primeiro primeiro
semestre semestre
é ser
proposto propor
trabalhar trabalhar
tema tema
transversal transversal
vinculando vincular
relações relação
étnico-raciais étnico-racial
e e
direitos direito
humanos humano
a a
partir partir
de de
quatro quatro
atividades atividade
de de
até até
três três
horas hora
em em
dois dois
ou ou
três três
turnos turno
, ,
de de
modo modo
a a
abranger abranger
todas todo
as o
turmas turma
de de
Comércio comércio
Exterior exterior
, ,
ADS ads
AMS ams
e e
ADS ads
: :
1 1
) )
1º 1º
encontro encontro
– -
apresentação apresentação
aos a_o
discentes discente
de de
tema tema
transversal transversal
escolhido escolher
mediante mediante
exposição exposição
docente docente
seguida seguir
de de
discussão discussão
; ;
a o
. .
a o
apresentação apresentação
será ser
feita fazer
no em_o
auditório auditório
, ,
com com
todas todo
as o
turmas turma
do de_o
respectivo respectivo
turno turno
( (
são ser
três três
turnos turno
) )
, ,
no em_o
auditório auditório
; ;
b b
. .
a o
apresentação apresentação
será ser
respaldada respaldar
com com
a o
legislação legislação
em em
vigor vigor
e e
discussão discussão
por por
autores autor
clássicos clássico
brasileiros brasileiro
ou ou
internacionais internacional
; ;
c c
. .
ao a_o
término término
da de_o
apresentação apresentação
haverá haver
uma um
sessão sessão
de de
discussão discussão
com com
vistas vista
a a
colher colher
recepção recepção
do de_o
tema tema
pelos por_o
discentes discente
e e
fomentar fomentar
o o
2º 2º
encontro encontro
. .
2 2
) )
2º 2º
encontro encontro
– -
apresentação apresentação
aos a_o
discentes discente
com com
vistas vista
ao a_o
aprofundamento aprofundamento
do de_o
tema tema
transversal transversal
escolhido escolher
; ;
a o
. .
a o
apresentação apresentação
será ser
feita fazer
no em_o
auditório auditório
, ,
para para
todas todo
as o
turmas turma
do de_o
respectivo respectivo
turno turno
( (
são ser
três três
turnos turno
) )
, ,
e e
partirá partir
dos de_o
resultados resultado
da de_o
experiência experiência
do de_o
primeiro primeiro
encontro encontro
, ,
verticalizando verticalizando
o o
entendimento entendimento
do de_o
tema tema
; ;
b b
. .
como como
forma forma
alternativa alternativo
, ,
o o
encontro encontro
poderá poder
ser ser
animado animar
por por
entrevista entrevista
formal formal
a a
pessoas pessoa
ligadas ligar
ao a_o
tema tema
, ,
apresentação apresentação
e e
discussão discussão
de de
filme filme
sobre sobre
a o
temática temático
ou ou
outra outro
abordagem abordagem
que que
se se
considere considerar
apropriada apropriar
; ;
c c
. .
ao a_o
término término
do de_o
encontro encontro
haverá haver
sessão sessão
de de
discussão discussão
aberta abrir
aos a_o
discentes discente
. .
3 3
) )
Simulado simular
ENADE enade
– -
Formação formação
Geral geral
– -
elaboração elaboração
de de
prova prova
simulada simular
com com
duas dois
questões questão
objetivas objetivo
de de
provas prova
anteriores anterior
do de_o
ENADE enade
sobre sobre
o o
tema tema
desenvolvido desenvolver
a o
. .
A o
prova prova
será ser
impressa imprimir
e e
obrigatória obrigatório
a a
todos todo
os o
estudantes estudante
do de_o
curso curso
e e
poderá poder
ser ser
realizada realizar
pelo por_o
professor professor
do de_o
projeto projeto
ou ou
coordenação coordenação
de de
curso curso
; ;
b b
. .
A o
coordenação coordenação
e e
o o
NDE nde
do de_o
curso curso
decidirão decidir
sobre sobre
a o
pertinência pertinência
de de
uso uso
da de_o
nota nota
aferida aferido
; ;
c c
. .
Será ser
feita fazer
a o
correção correção
das de_o
questões questão
pelo por_o
professor professor
do de_o
projeto projeto
com com
entrega entrega
da de_o
listagem listagem
à a_o
coordenação coordenação
e e
colegiado colegiado
do de_o
curso curso
. .
4 4
) )
Resolução resolução
do de_o
simulado simular
e e
balanço balanço
da de_o
atividade atividade
– -
o o
encontro encontro
promoverá promover
a o
resolução resolução
das de_o
questões questão
do de_o
simulado simular
com com
comentários comentário
do de_o
professor professor
. .
Ao a_o
término término
da de_o
sessão sessão
os o
estudantes estudante
serão ser
convidados convidar
a a
opinar opinar
sobre sobre
a o
experiência experiência
e e
a a
indicar indicar
temas tema
relevantes relevante
e e
de de
interesse interesse
para para
o o
próximo próximo
ano ano
. .
Para para
o o
segundo segundo
semestre semestre
é ser
proposto propor
trabalhar trabalhar
tema tema
transversal transversal
vinculando vincular
meio meio
ambiente ambiente
, ,
sustentabilidade sustentabilidade
e e
especificidades especificidade
da de_o
formação formação
social social
brasileira brasileiro
a a
partir partir
de de
quatro quatro
atividades atividade
de de
até até
quatro quatro
horas hora
: :
5 5
) )
1º 1º
encontro encontro
– -
apresentação apresentação
aos a_o
discentes discente
de de
tema tema
transversal transversal
escolhido escolher
mediante mediante
exposição exposição
docente docente
seguida seguir
de de
discussão discussão
; ;
a o
. .
a o
apresentação apresentação
será ser
feita fazer
no em_o
auditório auditório
, ,
com com
todas todo
as o
turmas turma
do de_o
ADS ads
AMS ams
; ;
b b
. .
a o
apresentação apresentação
será ser
respaldada respaldar
com com
a o
legislação legislação
em em
vigor vigor
e e
discussão discussão
por por
autores autor
clássicos clássico
brasileiros brasileiro
ou ou
internacionais internacional
; ;
c c
. .
ao a_o
término término
da de_o
apresentação apresentação
haverá haver
uma um
sessão sessão
de de
discussão discussão
com com
vistas vista
a a
colher colher
recepção recepção
do de_o
tema tema
pelos por_o
discentes discente
e e
fomentar fomentar
o o
2º 2º
encontro encontro
. .
6 6
) )
2º 2º
encontro encontro
– -
apresentação apresentação
aos a_o
discentes discente
com com
vistas vista
ao a_o
aprofundamento aprofundamento
do de_o
tema tema
transversal transversal
escolhido escolher
; ;
a o
. .
a o
apresentação apresentação
partirá partir
dos de_o
resultados resultado
da de_o
experiência experiência
do de_o
primeiro primeiro
encontro encontro
, ,
verticalizando verticalizando
o o
entendimento entendimento
do de_o
tema tema
; ;
b b
. .
como como
forma forma
alternativa alternativo
, ,
o o
encontro encontro
poderá poder
ser ser
animado animar
por por
entrevista entrevista
formal formal
a a
pessoas pessoa
ligadas ligar
ao a_o
tema tema
, ,
apresentação apresentação
e e
discussão discussão
de de
filme filme
sobre sobre
a o
temática temático
ou ou
outra outro
abordagem abordagem
que que
se se
considere considerar
apropriada apropriar
c c
. .
ao a_o
término término
do de_o
encontro encontro
haverá haver
sessão sessão
de de
discussão discussão
aberta abrir
aos a_o
discentes discente
. .
7 7
) )
Simulado simular
ENADE enade
– -
Formação formação
Geral geral
– -
elaboração elaboração
de de
prova prova
simulada simular
com com
duas dois
questões questão
objetivas objetivo
de de
provas prova
anteriores anterior
do de_o
ENADE enade
sobre sobre
o o
tema tema
desenvolvido desenvolvido
e e
duas dois
questões questão
objetivas objetivo
o o
tema tema
desenvolvido desenvolver
no em_o
primeiro primeiro
semestre semestre
, ,
totalizando totalizar
quatro quatro
questões questão
a a
. .
A o
prova prova
será ser
impressa imprimir
e e
obrigatória obrigatório
a a
todos todo
os o
estudantes estudante
do de_o
curso curso
e e
poderá poder
ser ser
realizada realizar
pelo por_o
professor professor
do de_o
projeto projeto
ou ou
coordenação coordenação
de de
curso curso
; ;
b b
. .
A o
coordenação coordenação
e e
o o
NDE nde
do de_o
curso curso
decidirão decidir
sobre sobre
a o
pertinência pertinência
de de
uso uso
da de_o
nota nota
aferida aferido
; ;
c c
. .
Será ser
feita fazer
a o
correção correção
das de_o
questões questão
pelo por_o
professor professor
do de_o
projeto projeto
com com
entrega entrega
da de_o
listagem listagem
à a_o
coordenação coordenação
e e
colegiado colegiado
do de_o
curso curso
. .
Resolução resolução
do de_o
simulado simular
e e
balanço balanço
da de_o
atividade atividade
– -
esse esse
encontro encontro
promoverá promover
a o
resolução resolução
das de_o
questões questão
do de_o
simulado simular
com com
comentários comentário
do de_o
professo professo
. .
Ao a_o
término término
da de_o
sessão sessão
os o
estudantes estudante
serão ser
convidados convidar
a a
opinar opinar
sobre sobre
a o
experiência experiência
e e
a a
indicar indicar
temas tema
relevantes relevante
e e
de de
interesse interesse
para para
o o
próximo próximo
ano ano
. .
Por por
que que
será ser
feito fazer
: :
Para para
propiciar propiciar
uma um
formação formação
discente discente
voltada voltar
ao a_o
exercício exercício
da de_o
cidadania cidadania
de de
acordo acordo
com com
os o
princípios princípio
dos de_o
direitos direito
humanos humano
, ,
meio meio
ambiente ambiente
sustentável sustentável
, ,
diversidade diversidade
( (
relações relação
étnico-raciais étnico-racial
) )
e e
formação formação
histórico- histórico-
social social
( (
inclui incluir
cultura cultura
afro-brasileira afro-brasileiro
, ,
africana africano
e e
indígena indígena
) )
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Acesso acesso
/ /
Inclusão inclusão
ao a_o
Ensino ensino
Superior superior
( (
social social
, ,
PCD pcd
) )
