AÇOES açoes
DE de
SENSIBILIZAÇÃO sensibilização
PARA para
A o
AUTOAVALIAÇÃO autoavaliação
- -
WEB web
SAI sair
- -
cat cat
. .
1 1
. .
99 99
- -
Outra outro
O o
que que
será ser
feito fazer
: :
Sensibilização sensibilização
por por
meio meio
de de
redes rede
sociais social
com com
material material
elaborado elaborar
internamente internamente
destacando destacar
a o
importância importância
do de_o
processo processo
e e
também também
as o
datas data
de de
início início
e e
encerramento encerramento
da de_o
coleta coleta
. .
Representante representante
discente discente
na em_o
Comissão comissão
Própria próprio
de de
Avaliação avaliação
atuando atuar
de de
forma forma
ativa ativo
nas em_o
salas sala
de de
aula aula
, ,
exortando exortar
os o
alunos aluno
a ela
participarem participar
do de_o
processo processo
. .
Atuação atuação
do de_o
corpo corpo
docente docente
na em_o
sensibilização sensibilização
em em
sala sala
de de
aula aula
com com
seus seu
alunos aluno
, ,
disponibilizando disponibilizar
tempo tempo
para para
que que
os o
alunos aluno
respondam responder
aos a_o
questionários questionário
. .
Atuação atuação
dos de_o
coordenadores coordenador
de de
curso curso
junto junto
a a
representantes representante
discentes discente
, ,
docentes docente
e e
alunos aluno
na em_o
coordenação coordenação
das de_o
ações ação
. .
Por por
que que
será ser
feito fazer
: :
Para para
obtenção obtenção
de de
melhores bom
e e
mais mais
confiáveis confiável
respostas resposta
. .
Situação situação
problema problema
: :
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
