Dentre dentrar
as o
principais principal
ações ação
advindas advir
desse de_esse
processo processo
, ,
podemos poder
salientar salientar
: :
• •
Planejar planejar
reuniões reunião
de de
apresentação apresentação
do de_o
PDI pdi
aos a_o
discentes discente
e e
divulgar divulgar
material material
simplificado simplificar
no em_o
site site
e e
murais mural
da de_o
unidade unidade
; ;
• •
Ampliar ampliar
os o
cursos curso
de de
nivelamento nivelamento
, ,
reforço reforço
e e
recuperação recuperação
de de
disciplinas disciplina
em em
que que
os o
alunos aluno
possuem possuir
maior grande
dificuldade dificuldade
de de
aprendizagem aprendizagem
ou ou
deficiência deficiência
advindas advindas
do de_o
Ensino ensino
Médio médio
; ;
• •
Promover promover
ações ação
incentivadoras incentivador
aos a_o
discentes discente
pelos por_o
docentes docente
com com
utilização utilização
de de
metodologias metodologia
ativas ativo
, ,
para para
majorar majorar
a o
articipação articipação
dos de_o
discentes discente
durante durante
as o
aulas aula
; ;
• •
Convidar convidar
a o
comunidade comunidade
externa externo
, ,
por por
meio meio
de de
seus seu
líderes líder
, ,
a a
participar participar
de de
eventos evento
na em_o
unidade unidade
, ,
com com
ampla amplo
divulgação divulgação
; ;
• •
Melhorar melhorar
o o
espaço espaço
de de
estudo estudo
na em_o
biblioteca biblioteca
e e
criar criar
espaços espaço
dedicados dedicar
ao a_o
estudo estudo
na em_o
faculdade faculdade
no em_o
formato formato
de de
ambientes ambiente
de de
convivência convivência
acadêmica acadêmico
; ;
• •
Promover promover
o o
ambiente ambiente
de de
diálogo diálogo
, ,
negociação negociação
e e
respeito respeito
à a_o
opinião opinião
diversa diverso
nos em_o
ambientes ambiente
acadêmicos acadêmico
, ,
como como
sala sala
de de
aula aula
, ,
biblioteca biblioteca
, ,
locais local
de de
atendimento atendimento
aos a_o
alunos aluno
e e
nas em_o
relações relação
hierárquicas hierárquico
do de_o
tipo tipo
" "
botton botton
up up
" "
; ;
• •
Estimular estimular
o o
livre livre
pensamento pensamento
e e
manifestação manifestação
de de
opinião opinião
, ,
com com
flexibilidade flexibilidade
de de
trabalho trabalho
entre entre
os o
docentes docente
, ,
de de
modo modo
que que
possam poder
aplicar aplicar
em em
sala sala
de de
aula aula
uma um
maior grande
variedade variedade
de de
metodologias metodologia
de de
ensino ensino
e e
avaliação avaliação
em em
suas seu
respectivas respectivo
disciplinas disciplina
, ,
e e
que que
as o
salas sala
de de
aula aula
sirvam servir
como como
verdadeiros verdadeiro
laboratórios laboratório
de de
variadas variar
abordagens abordagem
acadêmicas acadêmico
; ;
• •
Aumentar aumentar
o o
número número
de de
parcerias parceria
para para
estágios estágio
na em_o
faculdade faculdade
e e
adequar adequar
os o
conteúdos conteúdo
ministrados ministrar
em em
sala sala
de de
aula aula
às a_o
necessidades necessidade
do de_o
mercado mercado
de de
trabalho trabalho
atual atual
; ;
• •
Ampliar ampliar
a o
política política
de de
divulgação divulgação
do de_o
vestibular vestibular
semestralmente semestralmente
, ,
junto junto
às a_o
comunidades comunidade
carentes carente
para para
garantir garantir
acesso acesso
ao a_o
ensino ensino
superior alto
e e
inclusão inclusão
social social
; ;
• •
Ampliar ampliar
o o
número número
de de
vagas vaga
oferecidas oferecer
à a_o
iniciação iniciação
científica científico
via via
programa programa
de de
monitoria monitoria
do de_o
Centro centro
Paula paula
Souza souza
; ;
• •
Ampliar ampliar
o o
diálogo diálogo
no em_o
ambiente ambiente
acadêmico acadêmico
por por
meio meio
do de_o
exemplo exemplo
dado dar
por por
professores professor
, ,
coordenadores coordenador
, ,
diretores diretor
e e
uncionários uncionários
, ,
para para
que que
a o
prática prática
diária diário
se se
capilarize capilarize
entre entre
todos todo
os o
membros membro
da de_o
comunidade comunidade
; ;
• •
Provisionar provisionar
verba verba
ao a_o
longo longo
do de_o
ano ano
para para
executar executar
as o
melhorias melhoria
necessárias necessário
nos em_o
banheiros banheiro
da de_o
unidade unidade
; ;
• •
Negociar negociar
com com
o o
Centro centro
Paula paula
Souza souza
o o
aumento aumento
do de_o
número número
de de
funcionários funcionários
para para
a o
limpeza limpeza
e e
segurança segurança
da de_o
unidade unidade
; ;
• •
Reformar reformar
a o
copa copa
, ,
de de
modo modo
que que
os o
funcionários funcionário
possam poder
usar usar
com com
mais muito
frequência frequência
para para
preparo preparo
e e
consumo consumo
de de
refeições refeição
; ;
• •
Solicitar solicitar
ao a_o
Centro centro
Paula paula
Souza souza
o o
aumento aumento
da de_o
banda banda
de de
internet internet
na em_o
unidade unidade
; ;
• •
Instituir instituir
um um
programa programa
de de
manutenção manutenção
preventiva preventivo
das de_o
instalações instalação
prediais predial
; ;
• •
Promover promover
sempre sempre
a o
satisfação satisfação
da de_o
equipe equipe
com com
a o
manutenção manutenção
das de_o
políticas política
de de
gestão gestão
de de
pessoal pessoal
implementadas implementar
, ,
com com
foco foco
na em_o
participação participação
democrática democrático
e e
respeito respeito
ao a_o
desenvolvimento desenvolvimento
pessoal pessoal
e e
profissional profissional
de de
todos todo
os o
integrantes integrante
; ;
e e
• •
Aproveitar aproveitar
a o
infraestrutura infraestrutura
disponível disponível
para para
implementar implementar
mais muito
atividades atividade
online online
, ,
por por
meio meio
do de_o
ensino ensino
híbrido híbrido
, ,
para para
introduzir introduzir
novos novo
cursos curso
na em_o
unidade unidade
. .
