Em em
relação relação
a o
questão questão
15 15
, ,
9 9
, ,
09 @card@
% %
avaliaram avaliar
como como
" "
Excelente excelente
" "
, ,
36 36
, ,
36 36
% %
" "
Boa bom
" "
, ,
18 18
, ,
18 18
% %
" "
Regular regular
" "
, ,
9 9
, ,
09 @card@
% %
" "
Insuficiente insuficiente
" "
e e
27 27
, ,
27 27
% %
" "
Não não
souberam saber
responder responder
" "
. .
Na em_o
Questão questão
16 16
, ,
referente referente
a o
Monitoria monitoria
90 90
, ,
91 91
% %
avaliaram avaliar
como como
" "
Excelentes excelente
e e
Bons bom
" "
, ,
enquanto enquanto
4 4
, ,
55 55
% %
" "
Regulares regular
" "
e e
4 4
, ,
55 55
% %
" "
Insuficientes insuficiente
" "
. .
A o
análise análise
do de_o
perfil perfil
detalhado detalhado
Coordenador coordenador
de de
Curso curso
FATEC fatec
, ,
demonstra demonstrar
que que
o o
percentual percentual
que que
avaliaram avaliar
como como
" "
Boa bom
" "
a o
política política
de de
participação participação
dos de_o
estudantes estudante
nas em_o
atividades atividade
de de
pesquisa pesquisa
é ser
de de
33 33
, ,
33 33
% %
enquanto enquanto
66 66
, ,
67 67
% %
avaliaram avaliar
como como
" "
Regular regular
" "
. .
Ao a_o
comparar comparar
com com
a o
análise análise
do de_o
perfil perfil
Administrativo administrativo
nota notar
-se se
a o
diferença diferença
dos de_o
percentuais percentual
, ,
evidenciando evidenciar
a o
necessidade necessidade
de de
um um
perfil perfil
para para
servidores servidor
que que
realizam realizar
atividades atividade
, ,
exclusivamente exclusivamente
administrativas administrativo
e e
outro outro
para para
servidores servidor
que que
realizam realizar
atividades atividade
administrativas administrativo
, ,
acadêmicas acadêmico
e e
pedagógicas pedagógico
como como
é ser
o o
caso caso
dos de_o
coordenadores coordenador
de de
curso curso
nas em_o
Fatecs fatecs
. .
