Neste em_este
eixo eixo
que que
está estar
ligado ligar
a a
políticas política
de de
pessoal pessoal
e e
gestão gestão
da de_o
instituição instituição
podemos poder
destacar destacar
os o
bons bom
resultados resultado
, ,
na em_o
percepção percepção
docente docente
e e
da de_o
área área
administrativa administrativo
, ,
em em
relação relação
ao a_o
incentivo incentivo
a o
formação formação
docente docente
e e
funcionários funcionário
administrativos administrativo
, ,
bem bem
como como
a o
atuação atuação
e e
representatividade representatividade
dos de_o
colegiados colegiado
. .
O o
apoio apoio
da de_o
direção direção
em em
relação relação
a o
participação participação
na em_o
tomada tomada
de de
decisões decisão
e e
resolução resolução
de de
conflitos conflito
também também
fica ficar
em em
destaque destaque
. .
Como como
pontos ponto
a a
serem ser
melhorados melhorar
destacam destacar
-se se
tanto tanto
o o
conhecimento conhecimento
em em
relação relação
as o
questões questão
de de
progressão progressão
e e
evolução evolução
funcional funcional
bem bem
como como
a o
satisfação satisfação
mediana mediano
em em
relação relação
a a
elas ele
. .
