Analisando analisar
os o
dados dado
da de_o
pesquisa pesquisa
do de_o
WEBSAI websai
, ,
conforme conforme
gráficos gráfico
supra suprir
, ,
quanto quanto
ao a_o
perfil perfil
docente docente
e e
técnico técnico
administrativo administrativo
e e
também também
ao a_o
perfil perfil
discente discente
, ,
verifica verificar
-se se
que que
as o
ferramentas ferramenta
de de
planejamento planejamento
e e
avaliação avaliação
institucional institucional
constituem constituir
uma um
grande grande
força força
da de_o
unidade unidade
, ,
pois pois
para para
as o
três três
categorias categoria
, ,
as o
respostas resposta
voltam voltar
-se se
para para
resultados resultado
bons bom
ou ou
muito muito
bons bom
no em_o
que que
concerne concernir
à a_o
forma forma
de de
divulgação divulgação
dos de_o
resultados resultado
da de_o
autoavaliação autoavaliação
, ,
e e
para para
os o
funcionários funcionário
administrativos administrativo
e e
docentes docente
, ,
também também
é ser
muito muito
bom bom
ou ou
bom bom
o o
uso uso
feito fazer
pela por_o
gestão gestão
da de_o
unidade unidade
dos de_o
resultados resultado
da de_o
pesquisa pesquisa
para para
implementar implementar
melhorias melhoria
na em_o
qualidade qualidade
de de
ensino ensino
, ,
embora embora
para para
os o
discentes discente
, ,
apenas apenas
35 35
% %
consideram considerar
boa bom
ou ou
muito muito
boa bom
esta este
utilização utilização
dos de_o
dados dado
da de_o
autoavaliação autoavaliação
, ,
o o
que que
aponta apontar
para para
uma um
fragilidade fragilidade
, ,
que que
pode poder
ser ser
atribuída atribuir
ao a_o
fato fato
de de
que que
boa bom
parte parte
dos de_o
alunos aluno
não não
consegue conseguir
tecer tecer
critérios critério
de de
comparação comparação
referente referente
à a_o
melhoria melhoria
da de_o
qualidade qualidade
de de
ensino ensino
, ,
em em
razão razão
do de_o
curto curto
período período
em em
que que
cada cada
um um
permanece permanecer
na em_o
instituição instituição
, ,
após após
a o
participação participação
e e
o o
feedback feedback
de de
cada cada
autoavaliação autoavaliação
, ,
que que
acontece acontecer
apenas apenas
uma um
vez vez
por por
ano ano
. .
