Destaca destacar
-se se
algumas algum
atividades atividade
que que
são ser
realizadas realizar
: :
✓ ✓
Acolhimento acolhimento
na em_o
matrícula matrícula
: :
o o
período período
de de
matrícula matrícula
foi ser
organizado organizar
com com
base base
nas em_o
informações informação
colhidas colher
das de_o
turmas turma
anteriores anterior
, ,
que que
relataram relatar
falta falta
de de
um um
melhor bom
acolhimento acolhimento
nesse em_esse
dia dia
. .
Dessa de_esse
forma forma
foi ser
montada montar
uma um
estrutura estrutura
( (
funcionários funcionário
, ,
coordenadores coordenador
, ,
docentes docente
, ,
diretor diretor
acadêmico acadêmico
, ,
diretora diretora
geral geral
e e
alunos aluno
veteranos veterano
) )
para para
recepcionar recepcionar
os o
estudantes estudante
recém-ingressantes recém-ingressante
. .
No em_o
momento momento
da de_o
matrícula matrícula
os o
coordenadores coordenador
, ,
discentes discente
e e
a o
diretora diretora
ficaram ficar
à a_o
disposição disposição
dos de_o
alunos aluno
para para
uma um
conversa conversa
sobre sobre
a o
instituição instituição
e e
o o
curso curso
escolhido escolher
. .
✓ ✓
Conferência conferência
das de_o
matrículas matrícula
abertas aberto
: :
os o
coordenadores coordenador
realizam realizar
um um
levantamento levantamento
de de
todas todo
as o
matrículas matrícula
em em
situação situação
" "
aberta aberto
" "
. .
Diante diante
dessas de_esse
informações informação
, ,
entram entrar
em em
contato contato
com com
os o
alunos aluno
para para
saber saber
o o
motivo motivo
da de_o
sua seu
não não
efetivação efetivação
. .
✓ ✓
Acolhimento acolhimento
na em_o
primeira primeiro
semana semana
de de
aula aula
: :
a o
recepção recepção
ao a_o
calouro calouro
é ser
essencial essencial
para para
fomentar fomentar
as o
relações relação
com com
os o
novos novo
alunos aluno
e e
situar situar
o o
ingressante ingressante
no em_o
ensino ensino
superior alto
. .
O o
aluno aluno
que que
vem vir
do de_o
Ensino ensino
Médio médio
possui possuir
uma um
cultura cultura
formativa formativo
diferente diferente
; ;
dessa de_esse
forma forma
faz fazer
-se se
necessária necessário
a o
inserção inserção
do de_o
aluno aluno
no em_o
ensino ensino
superior alto
. .
