Excelente excelente
avaliação avaliação
do de_o
corpo corpo
técnico-administrativo técnico-administrativo
e e
dos de_o
docentes docente
do de_o
plano plano
de de
desenvolvimento desenvolvimento
institucional institucional
e e
da de_o
Relação relação
da de_o
Missão missão
e e
do de_o
PDI pdi
com com
a o
prática prática
profissional profissional
. .
Manter manter
os o
níveis nível
de de
satisfação satisfação
atual atual
por por
meio meio
do de_o
diálogo diálogo
e e
da de_o
comunicação comunicação
. .
Apresentação apresentação
do de_o
Plano plano
de de
Desenvolvimento desenvolvimento
Institucional institucional
para para
o o
corpo corpo
técnico-administrativo técnico-administrativo
e e
docentes docente
. .
Participação participação
dos de_o
professores professor
nas em_o
ações ação
que que
promovem promover
a o
Responsabilidade responsabilidade
Social social
. .
Engajar engajar
um um
maior grande
número número
de de
docentes docente
, ,
a a
fim fim
de de
envolver envolver
mais muito
alunos aluno
nessas em_esse
ações ação
, ,
o o
planejamento planejamento
da de_o
divulgação divulgação
e e
produção produção
de de
material material
informativo informativo
. .
Reconhecimento reconhecimento
por por
parte parte
dos de_o
alunos aluno
sobre sobre
o o
estágio estágio
supervisionado supervisionar
como como
espaço espaço
de de
formação formação
profissional profissional
. .
Realizar realizar
um um
trabalho trabalho
conjunto conjunto
entre entre
coordenações coordenação
de de
curso curso
e e
supervisões supervisão
de de
estágio estágio
no em_o
sentido sentido
de de
informar informar
aos a_o
discentes discente
sobre sobre
a o
importância importância
da de_o
prática prática
na em_o
formação formação
do de_o
profissional profissional
de de
tecnologia tecnologia
. .
Reelaboração reelaboração
do de_o
manual manual
de de
estágio estágio
da de_o
unidade unidade
bem bem
como como
a o
atuação atuação
ativa ativo
dos de_o
supervisores supervisor
na em_o
captação captação
de de
espaços espaço
para para
a o
realização realização
das de_o
atividades atividade
de de
estágios estágio
Divulgar divulgar
e e
estimular estimular
a o
participação participação
de de
professores professor
e e
alunos aluno
nos em_o
programas programa
de de
intercâmbio intercâmbio
, ,
apresentando apresentar
relatos relato
dos de_o
alunos aluno
da de_o
unidade unidade
que que
já já
participaram participar
dessas de_esse
atividades atividade
. .
Durante durante
a o
semana semana
de de
acolhimento acolhimento
é ser
feita fazer
a o
divulgação divulgação
destes de_este
programas programa
, ,
bem bem
como como
por por
meio meio
de de
mídias mídia
sociais social
de de
todos todo
os o
editais edital
da de_o
Arinter arinter
. .
