Como como
você você
avalia avaliar
a o
política política
de de
participação participação
dos de_o
estudantes estudante
em em
atividades atividade
de de
pesquisa pesquisa
? ?
Cerca cerca
de de
2 2
/ /
3 3
do de_o
pessoal pessoal
administrativo administrativo
entende entender
que que
a o
participação participação
dos de_o
estudantes estudante
em em
atividades atividade
de de
pesquisa pesquisa
é ser
excelente excelente
ou ou
bom bom
, ,
o o
que que
permite permitir
dizer dizer
que que
na em_o
percepção percepção
de de
quem quem
não não
está estar
diretamente diretamente
ligado ligar
ao a_o
cotidiano cotidiano
acadêmico acadêmico
do de_o
aluno aluno
há há
pesquisa pesquisa
nas em_o
atividades atividade
realizadas realizar
. .
Já já
, ,
em em
relação relação
aos a_o
professores professor
, ,
o o
número número
de de
docentes docente
é ser
também também
considerável considerável
, ,
mas mas
há haver
que que
se se
destacar destacar
que que
um um
percentual percentual
de de
7 7
, ,
50 50
% %
entende entender
que que
a o
participação participação
dos de_o
alunos aluno
deve dever
ser ser
melhorada melhorar
. .
Considerando considerar
que que
no em_o
último último
ENADE enade
( (
2022 @card@
) )
, ,
o o
CST cst
de de
Gestão gestão
Empresarial empresarial
teve ter
nota nota
4 4
e e
o o
CST cst
de de
Comércio comércio
Exterior exterior
teve ter
nota nota
3 3
, ,
entende entender
-se se
que que
as o
pesquisas pesquisa
acadêmicas acadêmico
sejam ser
ferramentas ferramenta
utilizadas utilizar
por por
, ,
pelo por_o
menos menos
, ,
boa bom
parte parte
dos de_o
professores professor
. .
Neste em_este
sentido sentido
, ,
a o
CPA cpa
sugere sugerir
que que
na em_o
reunião reunião
da de_o
Congregação congregação
o o
tema tema
seja ser
abordado abordar
e e
que que
seja ser
proposto propor
aos a_o
docentes docente
que que
as o
atividades atividade
de de
pesquisa pesquisa
sejam ser
realizadas realizar
com com
mais muito
frequência frequência
. .
