Em em
uma um
análise análise
geral geral
do de_o
EIXO eixo
1 1
, ,
percebe perceber
-se se
que que
a o
CPA cpa
não não
é ser
conhecida conhecido
por por
boa bom
parte parte
da de_o
comunidade comunidade
acadêmica acadêmico
. .
Há haver
um um
certo certo
equilíbrio equilíbrio
entre entre
os o
que que
consideram considerar
o o
trabalho trabalho
desenvolvido desenvolver
pela por_o
CPA cpa
muito muito
bom bom
ou ou
bom bom
( (
28 28
, ,
5 5
% %
) )
e e
os o
que que
não não
souberam saber
responder responder
( (
28 28
, ,
85 85
% %
) )
, ,
o o
que que
denota denotar
a o
necessidade necessidade
de de
implementar implementar
mecanismos mecanismo
e e
processos processo
que que
tornem tornar
a o
Comissão comissão
mais mais
conhecida conhecido
e e
que que
possa poder
apresentar apresentar
os o
resultados resultado
de de
sua seu
gestão gestão
com com
mais muito
clareza clareza
. .
