Capacitar capacitar
e e
incentivar incentivar
a o
utilização utilização
de de
novas novo
metodologias metodologia
e e
tecnologias tecnologia
de de
ensino ensino
. .
Palestrantes palestrante
e e
profissionais profissional
da de_o
área área
junto junto
a a
visitas visita
técnicas técnico
Fomentar fomentar
inovações inovação
no em_o
processo processo
de de
ensino-aprendizagem ensino-aprendizagem
, ,
criando criar
estratégias estratégia
para para
o o
ensino ensino
inovador inovador
. .
Expandir expandir
ações ação
e e
evento evento
junto junto
a o
comunidade comunidade
externa externo
e e
atuar atuar
junto junto
as o
empresas empresa
para para
que que
alunos aluno
sejam ser
contratados contratar
LEI lei
Nº nº
8 8
. .
213 @card@
, ,
DE de
24 24
DE de
JULHO julho
DE de
1991 1991
. .
Estimular estimular
a o
informação informação
continuada continuar
em em
busca busca
das de_o
metas meta
e e
objetivos objetivo
institucionais institucional
para para
o o
alcance alcance
destes de_este
e e
monitorar monitorar
os o
indicadores indicador
da de_o
unidade unidade
com com
os o
da de_o
instituição instituição
. .
Fomentar fomentar
ambientes ambiente
institucionais institucional
de de
discussão discussão
de de
propostas proposta
e e
estratégias estratégia
para para
o o
ensino ensino
inovador inovador
e e
prover prover
o o
desenvolvimento desenvolvimento
social social
. .
Pesquisas pesquisa
junto junto
as o
empresas empresa
, ,
congresso congresso
CITEG citeg
– -
e e
publicação publicação
em em
jornais jornal
e e
revistas revista
locais local
. .
Melhorar melhorar
a o
comunicação comunicação
e e
incentivar incentivar
a o
comunidade comunidade
acadêmica acadêmico
a a
participar participar
dos de_o
programas programa
já já
implantados implantar
. .
Acompanhar acompanhar
e e
refletir refletir
o o
caráter caráter
sistêmico sistêmico
do de_o
processo processo
de de
ensino ensino
aprendizagem aprendizagem
, ,
analisando analisar
a o
sua seu
importância importância
nas em_o
relações relação
bilaterais bilateral
que que
envolve envolver
uma um
unidade unidade
de de
ensino ensino
. .
Fazer fazer
da de_o
avaliação avaliação
do de_o
processo processo
de de
aprendizagem aprendizagem
uma um
ação ação
contínua contínuo
, ,
analisando analisar
as o
diferentes diferente
etapas etapa
do de_o
processo processo
; ;
avaliar avaliar
o o
processo processo
e e
não não
apenas apenas
o o
produto produto
; ;
avaliar avaliar
a o
aprendizagem aprendizagem
de de
formação formação
de de
valores valor
com com
o o
mesmo mesmo
interesse interesse
que que
os o
conteúdos conteúdo
conceituais conceitual
; ;
Fazer fazer
a o
avaliação avaliação
ocorrer ocorrer
em em
todos todo
os o
momentos momento
do de_o
processo processo
, ,
ou ou
seja ser
, ,
no em_o
início início
( (
diagnóstica diagnóstico
) )
, ,
no em_o
final final
( (
somativa somativo
) )
, ,
e e
longo longo
de de
todo todo
o o
processo processo
( (
formativa formativo
) )
. .
Incentivar incentivar
a o
participação participação
nos em_o
cursos curso
de de
capacitação capacitação
oferecidos oferecer
pelo por_o
CPS cps
. .
Estimular estimular
a o
participação participação
em em
atividades atividade
de de
extensão extensão
, ,
oferecidas oferecer
pelo por_o
CPS cps
e e
por por
outras outro
Fatecs fatecs
. .
. .
Monitorar monitorar
os o
indicadores indicador
de de
participação participação
. .
Estreitar estreitar
relação relação
institucional institucional
entre entre
empresas empresa
, ,
faculdade faculdade
e e
CIEE ciee
entre entre
outros outro
. .
Criação criação
de de
espaço espaço
de de
divulgação divulgação
dos de_o
estágios estágio
. .
( (
mural mural
, ,
site site
da de_o
Fatec fatec
. .
Disponibilizar disponibilizar
e e
oferecer oferecer
mecanismos mecanismo
de de
obtenção obtenção
de de
qualificação qualificação
e e
capacitação capacitação
destinadas destinar
ao a_o
corpo corpo
docente docente
, ,
acrescido acrescer
de de
treinamentos treinamento
profissionais profissional
e e
cursos curso
de de
curta curto
duração duração
ou ou
" "
livres livre
" "
específicos específico
e e
inerentes inerente
à a_o
área área
de de
atuação atuação
dos de_o
mesmos mesmo
. .
Incentivar incentivar
a o
busca busca
da de_o
titulação titulação
. .
Expandir expandir
ações ação
já já
realizadas realizar
com com
empresas empresa
e e
setor setor
produtivo produtivo
se se
possível possível
desenvolver desenvolver
convênios convênio
, ,
parcerias parceria
etc etc
. .
, ,
junto junto
ao a_o
CPS cps
como como
por por
exemplo exemplo
chamamento chamamento
público público
para para
fins fim
específicos específico
tem ter
contribuído contribuir
muito muito
. .
Criar criar
programas programa
de de
extensão extensão
e e
pós-graduação pós-graduação
, ,
quando quando
possível possível
e e
autorizado autorizar
. .
Cronograma cronograma
anual anual
para para
estes este
. .
Divulgar divulgar
e e
estimular estimular
a o
participação participação
em em
atividades atividade
de de
extensão extensão
, ,
para para
informar informar
o o
que que
há haver
e e
como como
, ,
quando quando
e e
onde onde
fazer fazer
. .
Incentivar incentivar
o o
corpo corpo
docente docente
para para
qualificação qualificação
constante constante
. .
Aperfeiçoamento aperfeiçoamento
Pedagógico pedagógico
– -
SPAP spap
, ,
Congressos congresso
do de_o
CPS cps
e e
de de
outras outro
Fatecs fatecs
, ,
além além
das de_o
palestras palestra
de de
seminários seminário
oferecidos oferecer
durante durante
o o
semestre semestre
letivo letivo
. .
Monitorar monitorar
os o
indicadores indicador
de de
participação participação
. .
Elaborar elaborar
um um
relatório relatório
semestral semestral
das de_o
ações ação
sobre sobre
melhoria melhoria
de de
infraestrutura infraestrutura
que que
contemple contemplar
: :
Necessidades necessidade
, ,
Solicitações solicitação
, ,
Recebimento recebimento
e e
não não
recebimento recebimento
de de
Doações doação
. .
Plano plano
de de
expansão expansão
da de_o
unidade unidade
e e
impactos impacto
na em_o
infraestrura infraestrura
atual atual
e e
futura futuro
. .
