Pouca pouco
divulgação divulgação
da de_o
atuação atuação
dos de_o
órgão órgão
colegiados colegiado
. .
Divulgar divulgar
os o
principais principal
pontos ponto
discutidos discutir
e e
as o
decisões decisão
tomadas tomar
. .
Falta falta
de de
identificação identificação
com com
a o
atividade atividade
realizada realizar
. .
Promover promover
a o
rotação rotação
de de
funcionários funcionário
nas em_o
possíveis possível
áreas área
de de
atuação atuação
, ,
para para
identificar identificar
quais qual
as o
melhores bom
áreas área
para para
sua seu
alocação alocação
. .
Divulgação divulgação
de de
Campanhas campanha
de de
Saude saudar
e e
Bem bem
Estar estar
Promover promover
campanhas campanha
de de
saúde saúde
promovidas promover
pelo por_o
governo governo
e e
pelo por_o
Centro centro
Paula paula
Souza souza
. .
A o
unidade unidade
trabalhou trabalhar
amplamente amplamente
na em_o
divulgação divulgação
e e
cadastro cadastro
dos de_o
Empregados empregado
ao a_o
IAMSPE iamspe
, ,
bem bem
como como
continuou continuar
promovendo promover
campanhas campanha
como como
outubro outubro
rosa rosa
e e
webinar webinar
a a
respeito respeito
de de
saúde saúde
mental mental
entre entre
outros outro
assuntos assunto
relevantes relevante
, ,
sobretudo sobretudo
devido devido
à a_o
pandemia pandemia
. .
Capacitações capacitação
a a
respeito respeito
de de
diversas diversos
áreas área
Incentivar incentivar
os o
empregados empregado
a a
participar participar
de de
capacitações capacitação
de de
sua seu
área área
e e
, ,
quando quando
possível possível
, ,
das de_o
demais demais
áreas área
, ,
para para
que que
todos todo
conheçam conhecer
melhor melhor
todas todo
as o
atividades atividade
da de_o
unidade unidade
. .
