Na em_o
Questão questão
9 9
, ,
em em
que que
se se
avalia avaliar
a o
liderança liderança
da de_o
equipe equipe
gestora gestor
, ,
40 40
, ,
92 92
% %
avaliaram avaliar
que que
a o
liderança liderança
ocorre ocorrer
de de
" "
Forma forma
plena pleno
" "
, ,
38 38
, ,
84 84
% %
de de
" "
Forma forma
razoável razoável
" "
, ,
7 7
, ,
88 @card@
% %
" "
Forma forma
insuficiente insuficiente
" "
, ,
7 7
, ,
88 @card@
% %
avaliaram avaliar
como como
" "
inexistente inexistente
" "
e e
9 9
, ,
63 63
% %
" "
Não não
souberam saber
responder responder
" "
. .
Em em
relação relação
à a_o
questão questão
10 10
, ,
68 68
, ,
05 @card@
% %
avaliaram avaliar
como como
" "
Excelente excelente
e e
Boa bom
" "
, ,
21 21
, ,
12 12
% %
" "
Regular regular
" "
, ,
5 5
, ,
58 58
% %
" "
Insuficiente insuficiente
" "
e e
apenas apenas
5 5
, ,
25 25
% %
" "
Não não
souberam saber
responder responder
" "
. .
73 73
, ,
74 74
% %
dos de_o
docentes docente
avaliaram avaliar
que que
a o
equipe equipe
gestora gestor
condu condu
as o
ações ação
de de
" "
Forma forma
plena pleno
" "
enquanto enquanto
26 26
, ,
26 26
% %
de de
" "
Forma forma
razoável razoável
" "
. .
