Segundo segundo
os o
dados dado
do de_o
IPEA ipea
, ,
a o
renda renda
média médio
mensal mensal
familiar familiar
da de_o
Região região
Metropolitana metropolitana
correspondia corresponder
a a
1800 @card@
, ,
00 @card@
Reais reais
em em
2007 @card@
e e
2450 @card@
, ,
00 @card@
em em
2018 @card@
. .
Em em
que que
pese pesar
a o
redução redução
da de_o
renda renda
média médio
devido devido
a o
situação situação
econômica econômico
atual atual
, ,
houve haver
significativa significativo
redução redução
do de_o
desemprego desemprego
e e
aumento aumento
do de_o
número número
de de
assalariados assalariado
com com
carteira carteira
assinada assinar
nos em_o
últimos último
3 3
anos ano
( (
anteriores anterior
à a_o
atual atual
depressão depressão
econômica econômico
) )
. .
Este este
fato fato
sugere sugerir
que que
um um
número número
maior grande
de de
assalariados assalariado
de de
baixa baixo
renda renda
( (
1 1
a a
3 3
salários-mínimos salários-mínimo
) )
contribuiu contribuir
para para
a o
redução redução
da de_o
renda renda
média médio
da de_o
RMSP rmsp
. .
Como como
a o
região região
do de_o
projeto projeto
se se
caracteriza caracterizar
pelo por_o
predomínio predomínio
das de_o
rendas renda
mais mais
baixas baixo
, ,
é ser
provável provável
que que
a o
demanda demanda
por por
maior grande
qualificação qualificação
profissional profissional
tecnológica tecnológico
. .
