Desenvolvimento desenvolvimento
Institucional institucional
- -
AÇÃO ação
PROPOSTA propor
• •
A o
CPA cpa
propõe propor
investigar investigar
o o
percentual percentual
de de
cerca cerca
de de
12 12
% %
de de
alunos aluno
que que
entendem entender
que que
a o
missão missão
da de_o
instituição instituição
não não
vem vir
sendo ser
cumprida cumprir
a a
fim fim
de de
compreender compreender
a o
percepção percepção
do de_o
corpo corpo
discente discente
. .
Sugere sugerir
também também
, ,
que que
no em_o
início início
de de
cada cada
semestre semestre
letivo letivo
, ,
junto junto
com com
a o
apresentação apresentação
dos de_o
Planos planos
de de
Ensino ensino
, ,
a o
missão missão
, ,
visão visão
, ,
valores valor
da de_o
UE ue
outros outro
elementos elemento
importantes importante
sejam ser
levados levar
ao a_o
conhecimento conhecimento
dos de_o
alunos aluno
, ,
tornando tornar
-se se
uma um
prática prática
. .
• •
A o
CPA cpa
sugere sugerir
que que
as o
coordenações coordenação
de de
cursos curso
estimulem estimular
os o
docentes docente
a a
se se
desenvolverem desenvolver
continuamente continuamente
, ,
lembrando lembrar
que que
o o
CPS cps
oferece oferecer
qualificações qualificação
e e
cursos curso
constantementeque constantementeque
melhoram melhorar
as o
competências competência
dos de_o
professores professor
. .
A o
CPA cpa
sugere sugerir
que que
Direção direção
e e
Coordenadores coordenador
que que
abordem abordar
o o
tema tema
nas em_o
reuniões reunião
realizadas realizar
semestralmente semestralmente
a a
fim fim
de de
reforçar reforçar
o o
conhecimento conhecimento
sobre sobre
documento documento
. .
• •
Também também
, ,
que que
o o
mesmo mesmo
esteja estar
disponível disponível
para para
consulta consulta
no em_o
site site
institucional institucional
. .
A o
CPA cpa
tambénm tambénm
sugere sugerir
que que
seja ser
desenvolvida desenvolver
uma um
cartilha cartilha
para para
ser ser
distribuída distribuir
aos a_o
docentes docente
e e
funcionários funcionário
contendo contender
a o
documentação documentação
que que
deve dever
ser ser
conhecida conhecer
por por
todos todo
. .
• •
A o
CPA cpa
já já
tem ter
agendada agendar
reunião reunião
no em_o
início início
de de
2024 @card@
para para
estabelecer estabelecer
ações ação
que que
possam poder
melhorar melhorar
este este
indicador indicador
. .
• •
A o
CPA cpa
sugere sugerir
que que
haja haver
comunicações comunicação
assertivas assertivo
e e
formais formal
acerca acerca
do de_o
que que
está estar
sendo ser
desenvolvido desenvolver
e e
de de
que que
maneiras maneira
a a
comunidade comunidade
externa externo
tem ter
participado participar
. .
• •
A o
CPA cpa
sugere sugerir
que que
as o
coordenações coordenação
estimulem estimular
os o
docentes docente
a a
desenvolver desenvolver
atividade atividade
que que
possam poder
ser ser
" "
sentidas sentir
" "
pela por_o
comunidade comunidade
externa externo
e e
que que
tragam trazer
benefícios benefício
a a
ela ela
, ,
considerando considerar
as o
competências competência
desenvolvidas desenvolver
e e
exercitadas exercitar
pelos por_o
alunos aluno
. .
• •
A o
CPA cpa
propôs propor
uma um
atuação atuação
mais mais
forte forte
da de_o
Empresa empresa
Jr jr
. .
, ,
o o
que que
foi ser
ajustado ajustar
com com
a o
nova novo
coordenação coordenação
do de_o
CST cst
em em
Gestão gestão
Empresarial empresarial
que que
toma tomar
posse posse
em em
fevereiro fevereiro
de de
2024 @card@
para para
que que
haja haver
maior grande
intereção intereção
entre entre
alunos aluno
e e
o o
empresariado empresariado
da de_o
cidade cidade
e e
região região
. .
• •
A o
CPA cpa
sugere sugerir
que que
pesquisas pesquisa
sejam ser
constantemente constantemente
desenvolvidas desenvolver
a a
fim fim
de de
fornecer fornecer
o o
arcabouço arcabouço
para para
o o
exercíco exercíco
de de
competências competência
técnicas técnico
necessárias necessário
a a
profissional profissional
. .
