Em em
novembro novembro
foi ser
realizada realizar
a o
visita visita
técnica técnico
do de_o
Coordenador coordenador
Regional regional
de de
Infraestrutura infraestrutura
que que
avaliou avaliar
as o
condições condição
estruturais estrutural
do de_o
laboratório laboratório
de de
Química química
, ,
que que
apresentou apresentar
a o
queda queda
do de_o
foro foro
do de_o
laboratório laboratório
, ,
comprometendo comprometer
o o
uso uso
desse de_esse
espaço espaço
. .
Foi ser
sugerido sugerir
um um
reparo reparo
com com
a o
retirada retirada
do de_o
reboco reboco
, ,
vedação vedação
dos de_o
ferros ferro
expostos expor
, ,
novo novo
reboco reboco
e e
pintura pintura
, ,
como como
uma um
ação ação
emergencial emergencial
. .
