Eventos evento
e e
publicações publicação
acadêmicos acadêmico
e e
científicos científico
O o
que que
será ser
feito fazer
: :
Minuto minuto
Fatec fatec
Educação educação
sobre sobre
prevenção prevenção
Conscientização conscientização
sobre sobre
doenças doença
específicas específico
Promoção promoção
da de_o
saúde saúde
mental mental
Orientação orientação
sobre sobre
estilo estilo
de de
vida vida
saudável saudável
Adoção adoção
de de
hábitos hábito
preventivos preventivo
Esclarecimento esclarecimento
de de
dúvidas dúvida
e e
mitos mito
Incentivar incentivar
a o
responsabilidade responsabilidade
social social
em em
saúde saúde
. .
Situação situação
problema problema
: :
Comunicação comunicação
com com
a o
comunidade comunidade
acadêmica acadêmico
