B b
– -
Proposta proposta
de de
implantação implantação
do de_o
CST cst
em em
Comércio comércio
Exterior exterior
O o
que que
será ser
feito fazer
: :
Estruturação estruturação
da de_o
Proposta proposta
de de
implantação implantação
do de_o
CST cst
em em
Comércio comércio
Exterior exterior
. .
Por por
que que
será ser
feito fazer
: :
Para para
identificar identificar
novas novo
tecnologias tecnologia
e e
demandas demanda
para para
planejamento planejamento
e e
implantação implantação
de de
novos novo
cursos curso
e e
iniciativas iniciativa
; ;
para para
atender atender
à a_o
necessidade necessidade
regional regional
de de
profissionais profissional
de de
comércio comércio
exterior exterior
para para
atuação atuação
na em_o
indústria indústria
local local
, ,
tanto tanto
na em_o
importação importação
de de
insumos insumo
e e
equipamentos equipamento
como como
para para
a o
exportação exportação
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
; ;
Ampliar ampliar
a o
capacidade capacidade
de de
criar criar
e e
atualizar atualizar
cursos curso
em em
parceria parceria
com com
o o
mercado mercado
de de
entorno entornar
da de_o
UE ue
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Ampliar ampliar
em em
mais mais
3 3
o o
número número
de de
cursos curso
superiores alto
tecnológicos tecnológico
, ,
em em
05 @card@
de de
aperfeiçoamento aperfeiçoamento
para para
funcionários funcionário
, ,
discentes discente
e e
docentes docente
. .
