Em em
2022 @card@
foram ser
realizadas realizar
adequações adequação
nos em_o
Laboratórios laboratório
de de
Informática informática
e e
nos em_o
laboratórios laboratório
do de_o
Curso curso
de de
Processos processos
Químicos químico
. .
A o
unidade unidade
recebeu receber
50 50
mesas mesa
de de
computadores computador
, ,
280 280
cadeiras cadeira
, ,
50 50
mesas mesa
de de
computadores computador
, ,
40 40
notebooks notebook
, ,
114 @card@
computadores computador
e e
16 16
televisões televisão
de de
65 65
" "
. .
Com com
estes este
equipamentos equipamento
e e
mobiliários mobiliário
foi ser
possível possível
renovar renovar
os o
06 @card@
laboratórios laboratório
de de
informática informática
e e
melhorar melhorar
os o
equipamentos equipamento
de de
25 25
salas sala
de de
aula aula
. .
Além além
disso de_isso
, ,
a o
unidade unidade
recebeu receber
os o
seguintes seguinte
equipamentos equipamento
que que
permitiram permitir
a o
organização organização
de de
dois dois
novos novo
laboratórios laboratório
para para
o o
Curso curso
de de
Processos processos
Químicos químico
: :
01 @card@
Bancada bancada
de de
Cervejaria cervejaria
, ,
01 @card@
Bancada bancada
de de
Reatores reator
, ,
20 20
Mantas manta
aquecedoras aquecedoras
, ,
01 @card@
Centrífuga centrífugo
, ,
04 @card@
Banhos banho
ultratermostatizados ultratermostatizados
, ,
02 @card@
Estufas estufa
de de
esterilização esterilização
e e
01 @card@
Medidor medidor
de de
vazão vazão
. .
