Incremento incremento
e e
implementação implementação
de de
ações ação
institucionais institucional
A o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antonio antonio
Russo russo
tem ter
seu seu
funcionamento funcionamento
das de_o
07h00m 07h00m
às a_o
22h30 22h30
, ,
de de
segunda segunda
à a_o
sexta-feira sexta-feira
e e
, ,
aos a_o
sábados sábado
, ,
das de_o
08h00 08h00
às a_o
17h00 17h00
. .
Deste de_este
modo modo
, ,
faz fazer
-se se
necessária necessário
divisão divisão
em em
turnos turno
, ,
obedecendo obedecer
à a_o
carga carga
horária horário
de de
44 44
horas hora
semanais semanal
de de
trabalho trabalho
, ,
conforme conforme
legislação legislação
trabalhista trabalhista
. .
Os o
setores setor
de de
apoio apoio
técnico-administrativo técnico-administrativo
da de_o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antonio antonio
Russo russo
são ser
altamente altamente
capacitados capacitar
no em_o
âmbito âmbito
de de
sua seu
formação formação
e e
experiência experiência
. .
Todos todo
os o
colaboradores colaborador
são ser
contratados contratar
com com
a o
exigência exigência
mínima pequeno
de de
formação formação
no em_o
Ensino ensino
Médio médio
. .
Essa esse
característica característico
do de_o
corpo corpo
técnico-administrativo técnico-administrativo
facilita facilitar
o o
acesso acesso
do de_o
alunado alunado
às a_o
informações informação
pertinentes pertinente
ao a_o
curso curso
e e
uma um
maior grande
eficiência eficiência
da de_o
funcionalidade funcionalidade
, ,
como como
um um
todo todo
, ,
sendo ser
distribuídos distribuir
nas em_o
seguintes seguinte
categorias categoria
funcionais funcional
: :
Administrativo administrativo
, ,
Acadêmico-Administrativo acadêmico-administrativo
e e
Operacional operacional
, ,
atuando atuar
em em
conjunto conjunto
com com
às a_o
secretarias secretaria
acadêmicas acadêmico
. .
Conforme conforme
descrito descrever
abaixo abaixo
: :
Secretaria secretaria
Geral geral
: :
Responsável responsável
pela por_o
vida vida
acadêmica acadêmico
do de_o
aluno aluno
( (
notas nota
e e
faltas falta
) )
, ,
confecção confecção
e e
emissão emissão
de de
documentos documento
. .
Secretaria secretaria
da de_o
Coordenação coordenação
de de
Curso curso
: :
Suporte suporte
aos a_o
coordenadores coordenador
dos de_o
cursos curso
e e
também também
atendimento atendimento
ao a_o
aluno aluno
para para
esclarecimento esclarecimento
de de
dúvidas dúvida
e e
agendamento agendamento
do de_o
atendimento atendimento
dos de_o
coordenadores coordenador
. .
Suporte suporte
e e
apoio apoio
aos a_o
docentes docente
, ,
entrega entrega
e e
recebimento recebimento
de de
material material
didático didático
. .
Biblioteca biblioteca
: :
Atendimento atendimento
ao a_o
aluno aluno
na em_o
pesquisa pesquisa
bibliográfica bibliográfico
, ,
inclusive inclusive
pela por_o
internet internet
. .
Laboratórios laboratório
: :
Composta compor
por por
técnicos técnico
habilitados habilitar
a a
orientar orientar
alunos aluno
e e
professores professor
em em
aulas aula
práticas prático
, ,
bem bem
como como
em em
aulas aula
livres livre
. .
Preparo preparo
de de
material material
para para
as o
aulas aula
, ,
os o
quais qual
são ser
solicitados solicitado
anteriormente anteriormente
pelo por_o
docente docente
. .
