Outro outro
ponto ponto
relevante relevante
é ser
referente referente
ao a_o
pessoal pessoal
técnico-administrativo técnico-administrativo
que que
, ,
no em_o
todo todo
, ,
tem ter
o o
reconhecimento reconhecimento
por por
docentes docente
e e
discentes discente
pelo por_o
que que
realizam realizar
no em_o
cotidiano cotidiano
, ,
auxiliando auxiliar
, ,
de de
fato fato
, ,
os o
processos processo
em em
que que
seja ser
necessária necessário
eventual eventual
intervenção intervenção
. .
E e
de de
maneira maneira
geral geral
, ,
os o
superiores superior
hierárquicos hierárquico
são ser
bem bem
avaliados avaliar
, ,
havendo haver
uma um
relação relação
respeitosa respeitoso
e e
de de
profundo profundo
coleguismo coleguismo
entre entre
direção direção
, ,
coordenação coordenação
de de
cursos curso
e e
docentes docente
, ,
além além
da de_o
relação relação
com com
o o
pessoal pessoal
administrativo administrativo
e e
terceirizado terceirizado
, ,
não não
havendo haver
registro registro
algum algum
de de
algum algum
tipo tipo
de de
animosidade animosidade
entre entre
os o
colegas colega
. .
e e
estão estar
dispostos disposto
a a
auxiliar auxiliar
no em_o
que que
for ser
necessário necessário
para para
que que
os o
objetivos objetivo
institucionais institucional
e e
da de_o
unidade unidade
sejam ser
cumpridos cumprir
. .
A o
queixa queixa
de de
toda todo
a o
comunidade comunidade
acadêmica acadêmico
é ser
referente referente
às a_o
questões questão
de de
infraestrutura infraestrutura
do de_o
prédio prédio
onde onde
a o
unidade unidade
está estar
instalada instalar
. .
