Solicitamos solicitar
ao a_o
Centro centro
Paula paula
Souza souza
estudos estudo
sobre sobre
a o
viabilidade viabilidade
do de_o
retorno retorno
as o
atividades atividade
presenciais presencial
, ,
porém porém
após após
a o
análise análise
dos de_o
órgãos órgão
competentes competente
, ,
verificou verificar
-se se
a o
necessidade necessidade
da de_o
troca troca
dos de_o
atuais atual
aparelhos aparelho
de de
ar-condicionado ar-condicionado
e e
o o
retorno retorno
as o
atividades atividade
presenciais presencial
se se
dará dar
somente somente
após após
a o
CERFIFICAÇÃO cerfificação
de de
que que
as o
instalações instalação
estão estar
adequadas adequar
para para
a o
realização realização
das de_o
atividades atividade
de de
forma forma
presencial presencial
. .
