Atendimento atendimento
à a_o
Instrução instrução
Cesu cesu
n n
. .
02 @card@
, ,
de de
12 12
de de
fevereiro fevereiro
de de
2025 @card@
que que
dispõe dispor
sobre sobre
os o
procedimentos procedimento
e e
critérios critério
para para
alteração alteração
de de
carga carga
horária horário
docente docente
. .
Processo processo
Seletivo seletivo
Simplificado simplificar
para para
contração contração
de de
docente docente
por por
prazo prazo
determinado determinar
para para
preenchimento preenchimento
de de
disciplinas disciplina
que que
foram ser
oferecidas oferecer
por por
meio meio
de de
editais edital
de de
ampliação ampliação
de de
aulas aula
