Considerando considerar
a o
monitoria monitoria
de de
disciplina disciplina
, ,
e e
metodologias metodologia
para para
reforço reforço
ou ou
recuperação recuperação
de de
aprendizagem aprendizagem
. .
Como como
você você
avalia avaliar
os o
programas programa
de de
apoio apoio
pedagógico pedagógico
? ?
Os o
Planos planos
de de
Ensino ensino
são ser
apresentados apresentar
sempre sempre
na em_o
1ª 1ª
aula aula
semestral semestral
, ,
por por
orientação orientação
da de_o
Direção direção
e e
coordenadores coordenador
de de
curso curso
. .
Os o
alunos aluno
podem poder
tirar tirar
suas seu
dúvidas dúvida
sobre sobre
o o
que que
será ser
desenvolvido desenvolver
no em_o
semestre semestre
, ,
oportunizando oportunizando
eventuais eventual
ajustes ajuste
pelos por_o
docentes docente
. .
Além além
dessa de_esse
explanação explanação
, ,
a o
Instituição instituição
oferece oferecer
monitoria monitoria
desenvolvida desenvolver
pelos por_o
alunos aluno
que que
se se
destacam destacar
nos em_o
componentes componente
curriculares curricular
. .
Eles eles
possuem possuir
sala sala
própria próprio
para para
atendimento atendimento
aos a_o
colegas colega
a a
partir partir
de de
agendamento agendamento
. .
Eventos evento
de de
recuperação recuperação
e e
revisão revisão
dos de_o
conteúdos conteúdo
estudados estudar
são ser
realizados realizar
pelos por_o
docentes docente
, ,
o o
que que
é ser
percebido perceber
pelos por_o
alunos aluno
, ,
como como
se se
observa observar
no em_o
número número
significativo significativo
de de
alunos aluno
que que
responderam responder
positivamente positivamente
à a_o
questão questão
. .
