Ações ação
Futuras futuro
Sugeridas sugerir
o o
Aprimorar aprimorar
a a
Comunicação comunicação
sobre sobre
Critérios critério
de de
Bonificação bonificação
e e
Progressão progressão
: :
Aumentar aumentar
a o
transparência transparência
e e
a o
divulgação divulgação
dos de_o
indicadores indicador
utilizados utilizar
para para
a o
progressão progressão
e e
bonificação bonificação
dos de_o
funcionários funcionário
, ,
explicando explicar
de de
forma forma
acessível acessível
como como
esses esse
processos processo
ocorrem ocorrer
e e
quais qual
são ser
os o
critérios critério
adotados adotar
. .
o o
Fortalecer fortalecer
a a
Capacitação capacitação
e e
Desenvolvimento desenvolvimento
Profissional profissional
: :
Considerando considerar
que que
as o
capacitações capacitação
oferecidas oferecer
pelo por_o
CPS cps
foram ser
bem bem
avaliadas avaliar
, ,
é ser
recomendável recomendável
continuar continuar
investindo investir
em em
oportunidades oportunidade
de de
formação formação
, ,
além além
de de
promover promover
ainda ainda
mais mais
essas esse
capacitações capacitação
para para
que que
todos todo
tenham ter
pleno pleno
conhecimento conhecimento
das de_o
possibilidades possibilidade
de de
desenvolvimento desenvolvimento
profissional profissional
. .
o o
Divulgação divulgação
sobre sobre
Investimentos investimentos
: :
Elaborar elaborar
a o
divulgação divulgação
de de
informações informação
sobre sobre
os o
investimentos investimento
realizados realizar
na em_o
Fatec fatec
, ,
incluindo incluir
detalhes detalhe
sobre sobre
as o
áreas área
beneficiadas beneficiar
, ,
os o
objetivos objetivo
e e
os o
impactos impacto
esperados esperar
, ,
para para
aumentar aumentar
a o
compreensão compreensão
e e
engajamento engajamento
dos de_o
respondentes respondente
sobre sobre
os o
aspectos aspecto
financeiros financeiro
. .
o o
Esclarecimento esclarecimento
sobre sobre
a o
Atuação atuação
dos de_o
Representantes representante
Institucionais institucional
: :
Reforçar reforçar
a o
comunicação comunicação
sobre sobre
o o
papel papel
e e
as o
responsabilidades responsabilidade
dos de_o
representantes representante
discentes discente
, ,
docentes docente
e e
técnico-administrativos técnico-administrativo
em em
comissões comissão
e e
colegiados colegiado
, ,
como como
a o
CPA cpa
e e
o o
NDE nde
, ,
facilitando facilitar
a o
compreensão compreensão
dos de_o
processos processo
e e
das de_o
contribuições contribuição
desses de_esse
representantes representante
. .
