D d
– -
Aulas aula
de de
reforço reforço
de de
matemática matemática
O o
que que
será ser
feito fazer
: :
Oferecimento oferecimento
de de
aulas aula
de de
reforço reforço
de de
matemática matemática
. .
Por por
que que
será ser
feito fazer
: :
Para para
melhorar melhorar
os o
processos processo
de de
aprendizagem aprendizagem
e e
reduzir reduzir
a o
taxa taxa
de de
evasão evasão
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
nos em_o
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Promover promover
4 4
ações ação
pedagógicas pedagógico
que que
propiciem propiciar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
em em
5 5
% %
com com
base base
nos em_o
indicadores indicador
de de
2022 @card@
e e
incentivem incentivar
a o
elaboração elaboração
de de
projetos projeto
. .
