A- a-
Núcleo núcleo
de de
Relações relações
Empresariais empresarial
e e
Institucionais institucional
O o
que que
será ser
feito fazer
: :
Implementação implementação
de de
núcleo núcleo
que que
visa visar
realizar realizar
ações ação
para para
fortalecer fortalecer
o o
relacionamento relacionamento
entre entre
empresas empresa
e e
a o
faculdade faculdade
, ,
gerando gerar
benefícios benefício
mútuos mútuo
, ,
aproximando aproximar
as o
empresas empresa
e e
alunos aluno
para para
desenvolver desenvolver
competências competência
empresariais empresarial
atualizadas atualizar
às a_o
exigências exigência
profissionais profissional
de de
mercado mercado
. .
Por por
que que
será ser
feito fazer
: :
Para para
desenvolver desenvolver
convênios convênio
de de
cooperação cooperação
técnico-científica técnico-científico
entre entre
empresa empresa
/ /
faculdade faculdade
, ,
tendo ter
como como
foco foco
o o
aprendizado aprendizado
e e
a o
participação participação
discente discente
; ;
para para
prover prover
e e
consolidar consolidar
parcerias parceria
empresariais empresarial
que que
estimulem estimular
a o
realização realização
de de
projetos projeto
e e
atividades atividade
, ,
proporcionando proporcionar
aprendizado aprendizado
em em
situação situação
real real
; ;
para para
estabelecer estabelecer
contato contato
e e
relacionamento relacionamento
com com
empresas empresa
( (
produção produção
e e
serviços serviço
) )
e e
com com
instituição instituição
municipal municipal
, ,
ampliando ampliar
a o
participação participação
da de_o
Fatec fatec
Cotia cotio
no em_o
desenvolvimento desenvolvimento
regional regional
; ;
para para
melhorar melhorar
a o
empregabilidade empregabilidade
dos de_o
alunos aluno
e e
o o
aprimoramento aprimoramento
das de_o
competências competência
requeridas requerer
pelas por_o
organizações organização
empresariais empresarial
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Inovar inovar
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
para para
a o
formação formação
de de
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
com com
excelência excelência
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
; ;
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
nos em_o
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Expandir expandir
a o
capacidade capacidade
de de
articulação articulação
com com
Governos governo
e e
setores setor
produtivos produtivo
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Ampliar ampliar
a o
visita visita
a a
empresas empresa
– -
10 10
– -
e e
escolas escola
de de
ensino ensino
médio médio
– -
15 15
– -
da de_o
região região
; ;
Ampliar ampliar
as o
atividades atividade
e e
parcerias parceria
com com
mais mais
3 3
Secretarias secretaria
Municipais municipal
: :
Educação educação
, ,
Turismo turismo
, ,
Cultura cultura
, ,
assim assim
como como
com com
mais mais
4 4
empresas empresa
. .
