Assim assim
como como
na em_o
Formação formação
Geral geral
, ,
apenas apenas
1 1
, ,
8 8
% %
dos de_o
participantes participante
a a
consideraram considerar
muito muito
difícil difícil
. .
Esses esse
resultados resultado
indicam indicar
que que
a o
maioria maioria
dos de_o
estudantes estudante
enfrentou enfrentar
um um
grau grau
de de
dificuldade dificuldade
médio médio
nas em_o
duas dois
partes parte
da de_o
prova prova
. .
A o
presença presença
de de
um um
percentual percentual
considerável considerável
de de
estudantes estudante
que que
a ela
classificaram classificar
como como
difícil difícil
sugere sugerir
que que
o o
exame exame
apresentou apresentar
desafios desafio
significativos significativo
em em
certos certos
pontos ponto
. .
No em_o
entanto entanto
, ,
a o
baixa baixo
proporção proporção
de de
estudantes estudante
que que
a ela
consideraram considerar
muito muito
difícil difícil
indica indicar
que que
, ,
de de
modo modo
geral geral
, ,
a o
prova prova
não não
foi ser
extremamente extremamente
complexa complexo
para para
a o
maioria maioria
dos de_o
participantes participante
. .
É ser
importante importante
ressaltar ressaltar
que que
a o
avaliação avaliação
do de_o
grau grau
de de
dificuldade dificuldade
de de
uma um
prova prova
pode poder
variar variar
de de
acordo acordo
com com
a o
preparação preparação
e e
o o
conhecimento conhecimento
prévio prévio
de de
cada cada
estudante estudante
, ,
além além
de de
outros outro
fatores fator
individuais individual
. .
Portanto portanto
, ,
é ser
fundamental fundamental
que que
os o
estudantes estudante
se se
preparem preparar
de de
forma forma
adequada adequado
e e
estejam estar
familiarizados familiarizar
com com
o o
formato formato
e e
o o
conteúdo conteúdo
do de_o
ENADE enade
para para
obterem obter
um um
bom bom
desempenho desempenho
. .
