APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
1 1
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
2 2
Acesso acesso
/ /
Inclusão inclusão
ao a_o
Ensino ensino
Superior superior
( (
social social
, ,
PCD pcd
) )
3 3
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
4 4
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
5 5
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
6 6
Quantidade quantidade
de de
professores professor
/ /
funcionários funcionário
7 7
Acesso acesso
e e
transporte transporte
à a_o
Unidade unidade
de de
Ensino ensino
8 8
Consolidação consolidação
dos de_o
Cursos curso
Superiores alto
de de
Tecnologia tecnologia
