Portanto portanto
, ,
essa esse
ação ação
foi ser
realizada realizar
no em_o
sentido sentido
de de
" "
perceber perceber
" "
o o
que que
a o
comunidade comunidade
acadêmica acadêmico
sentia sentir
em em
relação relação
à a_o
Instituição instituição
e e
, ,
a a
partir partir
dos de_o
resultados resultado
observados observar
, ,
ações ação
poderiam poder
ser ser
realizadas realizar
com com
base base
na em_o
análise análise
realizada realizar
pelos por_o
alunos aluno
, ,
mentorados mentorados
pelo por_o
docente docente
do de_o
componente componente
curricular curricular
. .
Os o
alunos aluno
fizeram fazer
a o
pesquisa pesquisa
in in
loco loco
, ,
nas em_o
salas sala
de de
aula aula
, ,
entregando entregar
cédulas cédula
a a
alunos aluno
, ,
professores professor
, ,
além além
do de_o
pessoal pessoal
administrativo administrativo
e e
terceirizados terceirizados
em em
seus seu
postos posto
de de
trabalho trabalho
. .
A o
proposta proposta
seria ser
a ela
de de
atingir atingir
o o
maior grande
número número
de de
respondentes respondente
possível possível
a a
fim fim
de de
obter obter
um um
" "
retrato retrato
" "
da de_o
Instituição instituição
naquele em_aquele
momento momento
. .
Os o
resultados resultado
foram ser
semelhantes semelhante
, ,
pois pois
no em_o
período período
matutino matutino
o o
NPS nps
foi ser
de de
82 82
e e
no em_o
período período
noturno noturno
foi ser
de de
78 @card@
. .
