Relatório relatório
de de
Autoavaliação autoavaliação
Institucional institucional
da de_o
Fatec fatec
SBC sbc
- -
2023 @card@
/ /
Final final
O o
Plano plano
de de
Desenvolvimento desenvolvimento
Institucional institucional
( (
2022 @card@
- -
2026 @card@
) )
foi ser
um um
dos de_o
principais principal
documentos documento
que que
nortearam nortear
as o
ações ação
da de_o
Fatec fatec
São são
Bernardo bernardo
do de_o
Campo campo
, ,
pois pois
se se
trata tratar
de de
um um
documento documento
que que
se se
caracterizou caracterizar
como como
uma um
identidade identidade
da de_o
Instituição instituição
, ,
definindo definir
, ,
dentre dentrar
outros outro
, ,
sua seu
filosofia filosofia
de de
trabalho trabalho
, ,
missão missão
, ,
estratégias estratégia
, ,
objetivos objetivo
, ,
estrutura estrutura
e e
diretrizes diretriz
pedagógicas pedagógico
, ,
algo algo
a a
ser ser
continuado continuar
no em_o
PDI pdi
para para
os o
anos ano
seguintes seguinte
. .
