Em em
2023 @card@
foram ser
revisados revisar
os o
relatórios relatório
técnicos técnico
para para
atualização atualização
dos de_o
pedidos pedido
de de
equipamentos equipamento
e e
mobiliários mobiliário
, ,
conforme conforme
relatórios relatório
técnicos técnico
sobre sobre
as o
condições condição
das de_o
salas sala
de de
aula aula
, ,
laboratórios laboratório
e e
outros outro
espaços espaço
da de_o
unidade unidade
, ,
como como
a o
falta falta
de de
ares-condicionados ares-condicionado
, ,
bebedouros bebedouro
e e
armários armário
para para
os o
alunos aluno
. .
Todos todo
os o
itens item
estão estar
indicados indicar
no em_o
SIAF siaf
. .
