C c
– -
Estruturar estruturar
programas programa
de de
treinamento treinamento
e e
cursos curso
de de
aperfeiçoamento aperfeiçoamento
O o
que que
será ser
feito fazer
: :
Incentivar incentivar
e e
oferecer oferecer
aos a_o
professores professor
e e
funcionários funcionário
treinamentos treinamento
e e
cursos curso
de de
aperfeiçoamentos aperfeiçoamento
. .
Por por
que que
será ser
feito fazer
: :
Para para
otimizar otimizar
a o
prestação prestação
de de
serviços serviço
da de_o
FATEC fatec
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Obter obter
a o
satisfação satisfação
dos de_o
públicos público
que que
se se
relacionam relacionar
com com
o o
Centro centro
Paula paula
Souza souza
( (
stakeholders stakeholders
) )
; ;
Assegurar assegurar
a o
perenidade perenidade
do de_o
crescimento crescimento
da de_o
instituição instituição
com com
recursos recurso
financeiros financeiro
disponíveis disponível
; ;
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Promover promover
ações ação
administrativas administrativo
e e
pedagógicas pedagógico
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
em em
5 5
% %
com com
relação relação
ao a_o
indicador indicador
de de
desempenho desempenho
de de
2022 @card@
, ,
no em_o
ano ano
de de
2023 @card@
. .
