IDEATHON ideathon
. .
O o
que que
será ser
feito fazer
: :
Um um
evento evento
com com
os o
alunos aluno
para para
gerar gerar
ideias ideia
inovadoras inovador
( (
ODS ods
ou ou
ESG esg
) )
. .
Por por
que que
será ser
feito fazer
: :
Para para
criar criar
um um
ambiente ambiente
colaborativo colaborativo
e e
estimulante estimulante
para para
que que
nossos nosso
discentes discente
possam poder
desenvolver desenvolver
suas seu
ideias ideia
para para
desafios desafio
reais real
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
. .
Obter obter
a o
satisfação satisfação
dos de_o
públicos público
que que
se se
relacionam relacionar
com com
o o
Centro centro
Paula paula
Souza souza
( (
stakeholders stakeholders
) )
. .
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
Promover promover
a o
cultura cultura
de de
inovação inovação
e e
empreendedorismo empreendedorismo
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Desenvolver desenvolver
mensalmente mensalmente
ações ação
/ /
serviços serviço
que que
reforcem reforçar
a o
imagem imagem
institucional institucional
da de_o
unidade unidade
junto junto
à a_o
comunidade comunidade
acadêmica acadêmico
. .
Promover promover
ações ação
administrativas administrativo
e e
pedagógicas pedagógico
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
em em
5 5
% %
com com
relação relação
ao a_o
indicador indicador
de de
desempenho desempenho
de de
2022 @card@
, ,
no em_o
ano ano
de de
2023 @card@
. .
Ampliar ampliar
a o
participação participação
dos de_o
discentes discente
nos em_o
eventos evento
de de
seus seu
respectivos respectivo
cursos curso
ou ou
em em
eventos evento
gerais geral
da de_o
unidade unidade
em em
10 10
% %
de de
modo modo
a a
desenvolver desenvolver
o o
sentimento sentimento
de de
pertencimento pertencimento
a o
unidade unidade
. .
