Objetivos objetivo
Institucionais institucional
– -
CPS cps
( (
Plano plano
de de
Metas meta
) )
: :
1 1
) )
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
. .
2 2
) )
Obter obter
a o
satisfação satisfação
dos de_o
públicos público
que que
se se
relacionam relacionar
com com
o o
Centro centro
Paula paula
Souza souza
( (
stakeholders stakeholders
) )
. .
3 3
) )
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
4 4
) )
Assegurar assegurar
a o
perenidade perenidade
do de_o
crescimento crescimento
da de_o
instituição instituição
com com
recursos recurso
financeiros financeiro
disponíveis disponível
. .
5 5
) )
Garantir garantir
celeridade celeridade
e e
efetividade efetividade
na em_o
prestação prestação
de de
serviços serviço
. .
6 6
) )
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
7 7
) )
Promover promover
a o
cultura cultura
de de
inovação inovação
e e
empreendedorismo empreendedorismo
. .
8 8
) )
Aumentar aumentar
a o
eficiência eficiência
, ,
a o
produtividade produtividade
e e
a o
competitividade competitividade
da de_o
instituição instituição
. .
9 9
) )
Ampliar ampliar
a o
oferta oferta
da de_o
Educação educação
Profissional profissional
. .
10 10
) )
Resolução resolução
Conjunta conjunta
SOG sog
/ /
SFP sfp
/ /
SG-3 sg-3
, ,
de de
28-12-2022 @card@
- -
Bonificação bonificação
por por
Resultados resultado
– -
BR br
das de_o
Secretarias secretaria
de de
Estado estado
, ,
Procuradoria procuradoria
Geral geral
do de_o
Estado estado
, ,
Controladoria controladoria
Geral geral
do de_o
Estado estado
e e
das de_o
Autarquias autarquia
, ,
de de
que que
trata tratar
a o
LC lc
1361-2021 @card@
