IV iv
. .
E e
Bens bem
e e
Serviços serviços
: :
Conforme conforme
solicitado solicitar
no em_o
PDI pdi
2019-2023 @card@
, ,
a o
FATEC-Zona fatec-zona
Sul sul
recebeu receber
os o
equipamentos equipamento
solicitados solicitado
, ,
além além
de de
novos novo
computadores computador
, ,
impressoras impressora
e e
equipamentos equipamento
como como
televisores televisor
, ,
computadores computador
de de
mesa mesa
, ,
notebooks notebook
e e
periféricos periférico
para para
melhoria melhoria
dos de_o
serviços serviço
prestados prestar
à a_o
comunidade comunidade
acadêmica acadêmico
. .
