MOSTRA mostrar
DE de
SOFTWARE software
DO de_o
CURSO curso
ANÁLISE análise
E e
DESENVOLVIMNTO desenvolvimnto
DE de
SISTEMAS sistema
O o
que que
será ser
feito fazer
: :
No em_o
final final
de de
cada cada
semestre semestre
, ,
os o
alunos aluno
apresentam apresentar
seus seu
projetos projeto
de de
software software
desenvolvidos desenvolver
durante durante
a o
realização realização
do de_o
Trabalho trabalho
de de
Conclusão conclusão
de de
Curso curso
. .
Por por
que que
será ser
feito fazer
: :
A o
mostra mostra
acontece acontecer
por por
duas dois
razões razão
: :
a o
primeira primeiro
para para
que que
os o
alunos aluno
realizadores realizador
tenham ter
a o
oportunidade oportunidade
de de
apresentar apresentar
seus seu
trabalhos trabalho
para para
as o
bancas banca
, ,
para para
os o
alunos aluno
mais mais
jovens jovem
e e
também também
para para
a o
comunidade comunidade
; ;
a o
segunda segunda
é ser
para para
que que
os o
alunos aluno
mais mais
jovens jovem
possam poder
se se
inspirar inspirar
e e
idealizar idealizar
seus seu
futuros futuro
projetos projeto
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercadobalho mercadobalho
. .
Obter obter
a o
satisfação satisfação
dos de_o
públicos público
que que
se se
relacionam relacionar
com com
o o
Centro centro
Paula paula
Souza souza
( (
stakeholders stakeholders
) )
. .
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Ampliar ampliar
a o
participação participação
dos de_o
discentes discente
nos em_o
eventos evento
de de
seus seu
respectivos respectivo
cursos curso
ou ou
em em
eventos evento
gerais geral
da de_o
unidade unidade
em em
10 10
% %
de de
modo modo
a a
desenvolver desenvolver
o o
sentimento sentimento
de de
pertencimento pertencimento
a o
unidade unidade
. .
Promover promover
ações ação
administrativas administrativo
e e
pedagógicas pedagógico
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
e e
trancamento trancamento
em em
5 5
% %
com com
relação relação
ao a_o
indicador indicador
de de
desempenho desempenho
de de
2022 @card@
, ,
no em_o
ano ano
de de
2023 @card@
. .
