Merece merecer
destaque destaque
o o
fato fato
de de
apenas apenas
poucos pouco
alunos aluno
consideraram considerar
que que
a o
implementação implementação
de de
aulas aula
não não
presenciais presencial
e e
uso uso
de de
tecnologias tecnologia
digitais digital
decorrentes decorrente
da de_o
pandemia pandemia
prejudicaram prejudicar
seu seu
processo processo
formativo formativo
, ,
e e
a o
maior grande
parte parte
deles de_eles
afirmou afirmar
que que
as o
dificuldades dificuldade
geradas gerar
pela por_o
pandemia pandemia
para para
a o
continuidade continuidade
dos de_o
estudos estudo
NÃO não
os o
levaram levar
a a
pensar pensar
em em
trancar trancar
ou ou
desistir desistir
do de_o
curso curso
. .
Por por
fim fim
, ,
vale valer
destacar destacar
que que
os o
alunos aluno
têm ter
uma um
visão visão
mista misturar
sobre sobre
a o
experiência experiência
durante durante
a o
pandemia pandemia
: :
valorizam valorizar
o o
suporte suporte
oferecido oferecido
, ,
mas mas
também também
reconhecem reconhecer
as o
falhas falha
, ,
especialmente especialmente
no em_o
que que
diz dizer
respeito respeito
à a_o
transição transição
para para
o o
ensino ensino
remoto remoto
. .
É ser
interessante interessante
notar notar
que que
, ,
embora embora
inicialmente inicialmente
tenham ter
tido ter
dificuldades dificuldade
com com
o o
ensino ensino
não não
presencial presencial
, ,
agora agora
estão estar
solicitando solicitar
aulas aula
remotas remoto
em em
diversas diversos
situações situação
, ,
o o
que que
pode poder
indicar indicar
uma um
adaptação adaptação
positiva positivo
a a
essa esse
modalidade modalidade
de de
ensino ensino
. .
