Ações ação
pedagógicas pedagógico
: :
visitas visita
técnicas técnico
, ,
projetos projeto
integradores integrador
/ /
interdisciplinares interdisciplinar
, ,
dias dia
de de
campo campo
, ,
feira feira
das de_o
profissões profissão
, ,
cursos curso
extracurriculares extracurricular
para para
alunos aluno
. .
O o
que que
será ser
feito fazer
: :
Organização organização
do de_o
projeto projeto
de de
disciplina disciplina
para para
implantação implantação
de de
uma um
ONG ong
com com
a o
responsabilidade responsabilidade
de de
criar criar
soluções solução
inovadoras inovador
para para
os o
problemas problema
reais real
relacionados relacionar
às a_o
mudanças mudança
climáticas climático
na em_o
Baixada baixar
Santista santista
, ,
associados associar
a a
um um
, ,
ou ou
mais muito
objetivos objetivo
, ,
dos de_o
17 17
Objetivos objetivo
de de
Desenvolvimento desenvolvimento
Sustentável sustentável
( (
ODS ods
) )
das de_o
Nações nações
Unidas unidas
, ,
desenvolvido desenvolver
na em_o
Disciplina disciplina
Química químico
Ambiental ambiental
do de_o
Curso curso
de de
Processos processos
Químicos químico
. .
Por por
que que
será ser
feito fazer
: :
Para para
difundir difundir
conhecimentos conhecimento
sobre sobre
processos processo
de de
responsabilidade responsabilidade
ambiental ambiental
no em_o
ambiente ambiente
discente discente
e e
na em_o
formação formação
profissional profissional
e e
tecnológica tecnológico
do de_o
aluno aluno
, ,
aproveitando aproveitar
as o
disciplinas disciplina
com com
foco foco
em em
química química
e e
meio meio
ambiente ambiente
. .
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
