Por por
fim fim
, ,
em em
relação relação
à a_o
possibilidade possibilidade
de de
trancar trancar
ou ou
desistir desistir
do de_o
curso curso
devido devido
às a_o
dificuldades dificuldade
geradas gerar
pela por_o
pandemia pandemia
, ,
a o
maioria maioria
dos de_o
estudantes estudante
não não
concorda concordar
com com
essa esse
afirmação afirmação
, ,
sendo ser
14 14
, ,
5 5
% %
concordando concordar
parcialmente parcialmente
e e
12 12
, ,
9 9
% %
concordando concordar
totalmente totalmente
. .
Esses esse
resultados resultado
indicam indicar
que que
, ,
de de
modo modo
geral geral
, ,
os o
estudantes estudante
tiveram ter
uma um
experiência experiência
positiva positivo
com com
o o
ensino ensino
não não
presencial presencial
durante durante
a o
pandemia pandemia
, ,
com com
a o
maioria maioria
concordando concordar
que que
as o
instituições instituição
ofereceram oferecer
suporte suporte
adequado adequado
e e
que que
conseguiram conseguir
se se
adaptar adaptar
às a_o
novas novo
demandas demanda
. .
