Vale valer
destacar destacar
que que
foi ser
realizado realizar
o o
Relatório relatório
de de
Avaliação avaliação
de de
Laboratórios laboratório
( (
RLAB rlab
) )
que que
tem ter
por por
objetivo objetivo
avaliar avaliar
os o
Recursos recursos
Pedagógicos pedagógico
para para
aulas aula
práticas prático
( (
práticas prática
de de
aulas aula
– -
PDI pdi
, ,
PPI ppi
, ,
PPC ppc
, ,
PE pe
, ,
PA pa
) )
; ;
visa visar
identificar identificar
as o
condições condição
de de
Segurança segurança
e e
Saúde saúde
no em_o
Trabalho trabalho
; ;
a o
garantia garantia
da de_o
Integridade integridade
Institucional institucional
( (
atribuição atribuição
legal legal
das de_o
atividades atividade
de de
instalação instalação
, ,
operação operação
e e
manutenção manutenção
de de
equipamentos equipamento
e e
infraestrutura infraestrutura
laboratorial laboratorial
para para
que que
não não
ocorra ocorrer
desvio desvio
de de
função função
) )
; ;
e e
é ser
uma um
importante importante
fonte fonte
de de
informações informação
para para
elaboração elaboração
do de_o
PGA pga
da de_o
Unidade unidade
de de
Ensino ensino
. .
Ela ela
ajuda ajudar
na em_o
organização organização
da de_o
Gestão gestão
Laboratorial laboratorial
da de_o
UE ue
possibilitando possibilitar
o o
Controle controle
de de
uso uso
dos de_o
ambientes ambiente
, ,
controle controle
de de
manutenção manutenção
de de
máquinas máquina
e e
instalações instalação
. .
