Oferecimento oferecimento
de de
aulas aula
de de
reforço reforço
de de
matemática matemática
Para para
melhorar melhorar
os o
processos processo
de de
aprendizagem aprendizagem
e e
reduzir reduzir
a o
taxa taxa
de de
evasão evasão
Projeto projeto
de de
Acolhimento acolhimento
de de
Discentes discente
do de_o
curso curso
de de
Comércio comércio
Exterior exterior
: :
delineamento delineamento
e e
implantação implantação
de de
um um
sistema sistema
de de
acolhimento acolhimento
e e
acompanhamento acompanhamento
do de_o
discente discente
desde desde
seu seu
ingresso ingresso
no em_o
curso curso
até até
sua seu
conclusão conclusão
Projeto projeto
Para para
diminuir diminuir
a o
taxa taxa
de de
desistência desistência
de de
discentes discente
e e
assim assim
mitigar mitigar
a o
evasão evasão
de de
discentes discente
no em_o
ensino ensino
superior alto
. .
Primeiro primeiro
, ,
porque porque
o o
acolhimento acolhimento
e e
o o
acompanhamento acompanhamento
de de
discentes discente
permite permitir
às a_o
instituições instituição
de de
ensino ensino
superior alto
identificar identificar
o o
que que
levou levar
estes este
discentes discente
a ela
escolherem escolher
o o
curso curso
e e
a o
IES ies
, ,
assim assim
como como
eventuais eventual
motivos motivo
que que
levariam levar
os o
discentes discente
a ela
evadirem evadir
do de_o
curso curso
. .
Segundo segundo
, ,
em em
razão razão
do de_o
sentimento sentimento
de de
pertencimento pertencimento
que que
o o
discente discente
passaria passar
a a
ter ter
e e
que que
certamente certamente
impactaria impactar
positivamente positivamente
em em
sua seu
vida vida
, ,
sobretudo sobretudo
acadêmica acadêmico
. .
Terceiro terceiro
, ,
devido devido
à a_o
possibilidade possibilidade
de de
identificar identificar
tanto tanto
ações ação
profissionais profissional
ou ou
acadêmicas acadêmico
destes de_este
discentes discente
como como
a o
repercussão repercussão
do de_o
curso curso
em em
sua seu
vida vida
profissional profissional
. .
A o
identificação identificação
de de
tais tal
elementos elemento
certamente certamente
reverbera reverberar
na em_o
legitimidade legitimidade
e e
na em_o
reputação reputação
do de_o
curso curso
realizado realizar
e e
da de_o
própria próprio
IES ies
, ,
uma um
vez vez
que que
supre suprir
requisitos requisito
de de
certificadoras certificador
e e
reguladores regulador
no em_o
que que
tange tanger
a o
avaliação avaliação
do de_o
impacto impacto
social social
dos de_o
cursos curso
. .
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
