Ações ação
de de
nivelamento nivelamento
de de
conhecimento conhecimento
, ,
ENADE enade
, ,
acolhimento acolhimento
e e
permanência permanência
discente discente
. .
Simulado simular
ENADE enade
– -
Formação formação
Geral geral
– -
elaboração elaboração
de de
prova prova
simulada simular
com com
duas dois
questões questão
objetivas objetivo
de de
provas prova
anteriores anterior
do de_o
ENADE enade
sobre sobre
o o
tema tema
desenvolvido desenvolvido
e e
duas dois
questões questão
objetivas objetivo
o o
tema tema
desenvolvido desenvolver
no em_o
primeiro primeiro
semestre semestre
, ,
totalizando totalizar
quatro quatro
questões questão
Será ser
feita fazer
a o
correção correção
das de_o
questões questão
pelo por_o
professor professor
do de_o
projeto projeto
com com
entrega entrega
da de_o
listagem listagem
à a_o
coordenação coordenação
e e
colegiado colegiado
do de_o
curso curso
. .
Resolução resolução
do de_o
simulado simular
e e
balanço balanço
da de_o
atividade atividade
– -
esse esse
encontro encontro
promoverá promover
a o
resolução resolução
das de_o
questões questão
do de_o
simulado simular
com com
comentários comentário
do de_o
professo professo
. .
Ao a_o
término término
da de_o
sessão sessão
os o
estudantes estudante
serão ser
convidados convidar
a a
opinar opinar
sobre sobre
a o
experiência experiência
e e
a a
indicar indicar
temas tema
relevantes relevante
e e
de de
interesse interesse
para para
o o
próximo próximo
ano ano
. .
Por por
que que
será ser
feito fazer
: :
Para para
propiciar propiciar
uma um
formação formação
discente discente
voltada voltar
ao a_o
exercício exercício
da de_o
cidadania cidadania
de de
acordo acordo
com com
os o
princípios princípio
dos de_o
direitos direito
humanos humano
, ,
meio meio
ambiente ambiente
sustentável sustentável
, ,
diversidade diversidade
( (
relações relação
étnico-raciais étnico-racial
) )
e e
formação formação
histórico-social histórico-social
( (
inclui incluir
ultura ultura
afro-brasileira afro-brasileiro
, ,
africana africano
e e
indígena indígena
) )
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
