Pontos ponto
de de
atenção atenção
ao a_o
acompanhamento acompanhamento
de de
egressos egresso
, ,
estimulo estimular
a o
organização organização
estudantil estudantil
, ,
bolsas bolsa
, ,
programas programa
de de
apoio apoio
financeiro financeiro
. .
Divulgar divulgar
e e
estimular estimular
a o
participação participação
nos em_o
programas programa
e e
Criar criar
política política
de de
acompanhamento acompanhamento
de de
egressos egresso
. .
De de
20 20
a a
40 40
% %
dos de_o
alunos aluno
consideram considerar
os o
incentivos incentivo
para para
cursar cursar
pós-graduação pós-graduação
regular regular
ou ou
insuficiente insuficiente
. .
Cerca cerca
de de
40 40
% %
dos de_o
alunos aluno
dizem dizer
que que
os o
eventos evento
científicos científico
são ser
regulares regular
ou ou
insuficientes insuficiente
. .
Dos de_o
entrevistados entrevistado
mais mais
de de
60 60
% %
veem ver
o o
estágio estágio
como como
um um
espaço espaço
de de
formação formação
profissional profissional
regular regular
, ,
insuficiente insuficiente
ou ou
não não
sabe saber
responder responder
. .
Obs obs
: :
a o
maioria maioria
dos de_o
alunos aluno
do de_o
curso curso
de de
GPI gpi
já já
trabalham trabalhar
na em_o
área área
e e
fazem fazer
equivalência equivalência
do de_o
estágio estágio
com com
a o
atividade atividade
profissional profissional
. .
Atividades atividade
de de
extensão extensão
são ser
deficitárias deficitário
Um um
terço terço
dos de_o
estudantes estudante
dizem dizer
que que
as o
práticas prática
didáticas didático
dos de_o
professores professor
e e
atividades atividade
de de
ensino ensino
são ser
regular regular
ou ou
insuficientes insuficiente
Incentivar incentivar
o o
uso uso
de de
metodologias metodologia
ativas ativo
. .
A o
interdisciplinaridade interdisciplinaridade
e e
projetos projeto
é ser
regular regular
ou ou
insuficientes insuficiente
. .
No em_o
curso curso
de de
Cosméticos cosmético
a o
correção correção
feita fazer
pelos por_o
docentes docente
e e
a o
atenção atenção
dados dar
aos a_o
que que
tem ter
dificuldade dificuldade
é ser
regular regular
ou ou
insuficiente insuficiente
Maior grande
interação interação
entre entre
a o
Coordenação coordenação
com com
os o
alunos aluno
. .
