Sob sob
ponto ponto
de de
vista vista
da de_o
Gestão gestão
Pedagógica pedagógico
da de_o
Regional regional
6 6
, ,
em em
análise análise
a a
partir partir
do de_o
relatório relatório
entregue entregar
pela por_o
Coordenação coordenação
de de
Curso curso
e e
tamb´me tamb´me
pelo por_o
estudo estudo
particular particular
dos de_o
documentos documento
disponibilizados disponibilizados
pela por_o
CESU cesu
e e
Inep inep
, ,
avalio avalio
que que
: :
I i
– -
Consideração consideração
das de_o
questões questão
com com
maior grande
número número
de de
erros erro
I i
. .
I i
-Formação -formação
Geral geral
: :
Percebo perceber
que que
o o
maior grande
destaque destaque
em em
termos termos
de de
dificuldades dificuldade
enfrentadas enfrentar
pelos por_o
alunos aluno
são ser
a o
interpretação interpretação
de de
textos texto
e e
análise análise
dos de_o
infográficos infográfico
e e
/ /
ou ou
figuras figura
. .
I i
. .
II ii
- -
Formação formação
Específica específico
: :
Entendo entender
que que
é ser
preciso preciso
refletir refletir
sobre sobre
os o
conteúdos conteúdo
que que
estão estar
sendo ser
ministrados ministrar
em em
sala sala
de de
aula aula
e e
que que
compõem compor
a o
matriz matriz
curricular curricular
do de_o
Curso curso
de de
Logística logístico
da de_o
UE ue
e e
os o
conteúdos conteúdo
discutidos discutir
nessa em_esse
avaliação avaliação
, ,
pois pois
existem existir
" "
discussões discussão
" "
da de_o
prova prova
que que
são ser
trabalhados trabalhar
em em
menor pequeno
detalhamento detalhamento
na em_o
grade grade
atual atual
para para
que que
esta este
contemple contemplar
discussões discussão
que que
a o
Coordenação coordenação
, ,
o o
Colegiado colegiado
e e
NDE nde
do de_o
curso curso
acreditam acreditar
ser ser
igualmente igualmente
importantes importante
para para
formação formação
profissional profissional
. .
Assim assim
, ,
há haver
uma um
difícil difícil
tarefa tarefa
de de
atender atender
os o
componentes componente
do de_o
Edital edital
Enade enade
e e
ao a_o
mesmo mesmo
tempo tempo
, ,
manter manter
uma um
grade grade
atualizada atualizar
e e
robusta robusto
que que
atenda atender
as o
expectativas expectativa
do de_o
mercado mercado
de de
trabalho trabalho
; ;
e e
por por
muitas muito
vezes vez
essas esse
duas dois
frentes frente
– -
INEP inep
/ /
ENADE enade
e e
Mercado mercado
de de
Trabalho trabalho
– -
não não
compactuam compactuar
dos de_o
mesmos mesmo
interesses interesse
curriculares curricular
; ;
e e
a o
IES ies
fica ficar
" "
dividida dividido
" "
sobre sobre
o o
que que
atender atender
com com
maior grande
ênfase ênfase
, ,
visto visto
que que
existe existir
uma um
carga carga
horária horário
e e
uma um
matriz matriz
curricular curricular
a a
cumprir cumprir
. .
II ii
- -
Análise análise
das de_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
de de
Percepção percepção
da de_o
Prova prova
: :
O o
maior grande
obstáculo obstáculo
encontrado encontrar
pelos por_o
alunos aluno
foi ser
o o
modo modo
como como
o o
conteúdo conteúdo
curricular curricular
é ser
abordado abordar
na em_o
prova prova
, ,
o o
já já
conhecido conhecido
" "
padrão padrão
ENADE enade
" "
de de
questões questão
. .
III iii
- -
Respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
do de_o
Estudante estudante
: :
A o
análise análise
diagnóstica diagnóstico
nos em_o
mostra mostrar
o o
quanto quanto
os o
alunos aluno
submetidos submeter
avaliação avaliação
ENADE enade
2022 @card@
foram ser
afetadas afetar
e e
até até
mesmo mesmo
prejudicadas prejudicar
pela por_o
pandemia pandemia
. .
IV iv
- -
Respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
da de_o
Pandemia pandemia
: :
Através através
da de_o
análise análise
diagnóstica diagnóstico
, ,
fica ficar
bastante bastante
claro claro
que que
mesmo mesmo
com com
a o
implementação implementação
de de
aulas aula
remotas remoto
e e
uso uso
de de
tecnologias tecnologia
digitais digital
para para
construção construção
da de_o
jornada jornada
acadêmica acadêmico
; ;
ainda ainda
assim assim
decorrentes decorrente
da de_o
pandemia pandemia
prejudicaram prejudicar
seu seu
processo processo
formativo formativo
, ,
dados dado
que que
reforçam reforçar
que que
a o
pandemia pandemia
prejudicou prejudicar
os o
estudos estudo
desses de_esse
alunos aluno
, ,
que que
foram ser
agravados agravar
pelos por_o
aspectos aspecto
intrínsecos intrínseco
a o
pandemia pandemia
( (
ex ex
. .
: :
restrição restrição
financeira financeiro
e e
vulnerabilidade vulnerabilidade
socioemocional socioemocional
) )
; ;
consequentemente consequentemente
, ,
o o
desempenho desempenho
destes de_este
no em_o
ENADE enade
. .
