II ii
- -
Análise análise
das de_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
de de
Percepção percepção
da de_o
Prova prova
: :
O o
maior grande
obstáculo obstáculo
encontrado encontrar
pelos por_o
alunos aluno
foi ser
o o
modo modo
como como
o o
conteúdo conteúdo
curricular curricular
é ser
abordado abordar
na em_o
prova prova
, ,
o o
já já
conhecido conhecido
" "
padrão padrão
ENADE enade
" "
de de
questões questão
. .
III iii
- -
Respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
do de_o
Estudante estudante
: :
A o
análise análise
diagnóstica diagnóstico
nos em_o
mostra mostrar
o o
quanto quanto
os o
alunos aluno
submetidos submeter
avaliação avaliação
ENADE enade
2022 @card@
foram ser
afetadas afetar
e e
até até
mesmo mesmo
prejudicadas prejudicar
pela por_o
pandemia pandemia
. .
IV iv
- -
Respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
da de_o
Pandemia pandemia
: :
Através através
da de_o
análise análise
diagnóstica diagnóstico
, ,
fica ficar
bastante bastante
claro claro
que que
mesmo mesmo
com com
a o
implementação implementação
de de
aulas aula
remotas remoto
e e
uso uso
de de
tecnologias tecnologia
digitais digital
para para
construção construção
da de_o
jornada jornada
acadêmica acadêmico
; ;
ainda ainda
assim assim
decorrentes decorrente
da de_o
pandemia pandemia
prejudicaram prejudicar
seu seu
processo processo
formativo formativo
, ,
dados dado
que que
reforçam reforçar
que que
a o
pandemia pandemia
prejudicou prejudicar
os o
estudos estudo
desses de_esse
alunos aluno
, ,
que que
foram ser
agravados agravar
pelos por_o
aspectos aspecto
intrínsecos intrínseco
a o
pandemia pandemia
( (
ex ex
. .
: :
restrição restrição
financeira financeiro
e e
vulnerabilidade vulnerabilidade
socioemocional socioemocional
) )
; ;
consequentemente consequentemente
, ,
o o
desempenho desempenho
destes de_este
no em_o
ENADE enade
. .
