Utilizando utilizar
-se se
a o
renda renda
nominal nominal
mensal mensal
per per
capita capitar
dos de_o
domicílios domicílio
particulares particular
permanentes permanente
localizados localizar
na em_o
Subprefeitura subprefeitura
do de_o
Ipiranga ipiranga
, ,
obtida obter
por por
meio meio
do de_o
censo censo
demográfico demográfico
de de
2010 @card@
( (
ano ano
mais mais
recente recente
em em
que que
esses esse
dados dado
estão estar
disponíveis disponível
) )
, ,
verifica verificar
-se se
que que
28 28
, ,
8 8
% %
apresentavam apresentar
renda renda
de de
até até
1 1
salário-mínimo salário-mínimo
e e
apenas apenas
13 13
, ,
6 6
% %
apresentavam apresentar
de de
5 5
salários-mínimos salários-mínimo
ou ou
mais mais
. .
